sku,weight
QCNBA000310,2.5
QCNBAG00520,2.5
REFDE00108,2.5
NEWNBK00184,2.5
REFDE00110,2.5
REFDE00109,2.5
REFDE00117,2.5
REFDE00062,2.5
QCNBA000294,2.5
REFDE00111,2.5
REFDE00161,2.5
REFDE00019,2.5
REFDE00079,2.5
REFDE00113,2.5
REFDE00309,2.5
REFDE00007,2.5
REFDE00017,2.5
REFDE00028,2.5
REFDE00034,2.5
REFDE00043,2.5
REFDE00091,2.5
REFDE00218,2.5
REFDE00228,2.5
NEWNBK00026,2.5
REFDE00343,2.5
QCNBA000301,2.5
REFDE00008,2.5
REFDE00009,2.5
REFDE00041,2.5
REFDE00056,2.5
REFDE00100,2.5
REFDE00114,2.5
REFDE00127,2.5
REFDE00182,2.5
REFDE00198,2.5
REFDE00201,2.5
REFDE00238,2.5
NEWNBK00022,2.5
REFDE00261,2.5
NEWNBK00108,2.5
REFDE00302,2.5
REFDE00310,2.5
REFDE00321,2.5
NEWNBK00050,2.5
QCPNBK00243,2.5
REFDE00001,2.5
REFDE00002,2.5
REFDE00003,2.5
REFDE00005,2.5
REFDE00006,2.5
REFDE00032,2.5
REFDE00036,2.5
REFDE00052,2.5
REFDE00053,2.5
REFDE00055,2.5
REFDE00075,2.5
REFDE00086,2.5
REFDE00090,2.5
REFDE00101,2.5
REFDE00106,2.5
REFDE00115,2.5
REFDE00119,2.5
REFDE00121,2.5
REFDE00124,2.5
REFDE00126,2.5
REFDE00128,2.5
REFDE00129,2.5
REFDE00137,2.5
REFDE00159,2.5
REFDE00166,2.5
REFDE00170,2.5
REFDE00197,2.5
REFDE00200,2.5
REFDE00203,2.5
REFDE00204,2.5
REFDE00205,2.5
REFDE00206,2.5
REFDE00207,2.5
REFDE00210,2.5
REFDE00212,2.5
REFDE00213,2.5
REFDE00214,2.5
REFDE00217,2.5
REFDE00221,2.5
REFDE00224,2.5
REFDE00225,2.5
REFDE00229,2.5
REFDE00248,2.5
QCNBB000097,2.5
OPNBNTF0026,2.5
NEWNBK00046,2.5
NEWNBK00028,2.5
NEWNBK00052,2.5
REFDE00254,2.5
REFDE00274,2.5
NEWNBK00110,2.5
NEWNBK00120,2.5
NEWNBK00148,2.5
SYGNBQB0061,2.5
REFDE00289,2.5
REFDE00020,2.5
REFDE00307,2.5
REFDE00301,2.5
QCPNBK00245,2.5
REFDE00093,2.5
REFDE00021,2.5
REFDE00286,2.5
QCPNBK00249,2.5
REFDE00342,2.5
REFDE00257,2.5
REFDE00335,2.5
REFDE00336,2.5
REFDE00354,2.5
QCNBA000224,2.5
QCNBB002091,2.5
OPNBNTF0239,2.5
NEWNBK00182,2.5
OPNBNTF0301,2.5
OPNBNTF0304,2.5
QCNBAG00577,2.5
QCNBAG00578,2.5
QCNBB002291,2.5
QCNBB002289,2.5
QCNBB002288,2.5
OPNBNTF0306,2.5
QCNBAG00603,2.5
QCNBAG00616,2.5
REFDE00004,2.5
REFDE00010,2.5
REFDE00011,2.5
REFDE00012,2.5
REFDE00013,2.5
REFDE00014,2.5
REFDE00015,2.5
REFDE00016,2.5
REFDE00018,2.5
REFDE00023,2.5
REFDE00024,2.5
REFDE00027,2.5
