sku,qty,price,is_in_stock,status
OPMBNTFB0001,1,14508.93,1,1
OPMBNTFB0002,11,6499.42909,1,1
OPMBNTFB0003,6,9557.85714,1,1
OPMBNTFB0004,48,7512.83104,1,1
OPMBNTFB0005,9,6447.42889,1,1
OPMBNTFB0007,1,26672,1,1
OPMBNTFB0008,1,22041.355,1,1
OPMBNTFB0009,7,6355.30714,1,1
OPMBNTFB0010,1,44383,1,1
OPMBNTFB0011,1,5458,1,1
OPMBNTFB0013,5,4775.884,1,1
OPMBNTFB0014,2,31674,1,1
OPMBNTFB0015,7,34456.74444,1,1
OPMBNTFB0016,7,9708.88714,1,1
OPMBNTFB0017,764,8783.65517,1,1
OPMBNTFB0018,151,10038.87597,1,1
OPMBNTFB0019,310,5686.75307,1,1
OPMBNTFB0020,171,5184.82596,1,1
OPMBNTFB0021,273,7186,1,1
OPMBNTFB0022,14,7561.19438,1,1
OPMBNTFB0023,591,8347.25584,1,1
OPMBNTFB0024,4,5580.36,1,1
OPMBNTFB0025,3,7926.60911,1,1
OPMBNTFB0026,63,7172.43478,1,1
OPMBNTFB0027,6,9017.86,1,1
OPMBNTFB0028,193,6956.67238,1,1
OPMBNTFB0029,89,5886.06764,1,1
OPMBNTFB0030,13,4732.14,1,1
OPMBNTFB0031,23,625,1,1
OPMBNTFB0032,5,5859.24286,1,1
OPMBNTFB0033,5,7678.57,1,1
OPMBNTFB0034,4,7804,1,1
OPMBNTFB0035,18,9785.8,1,1
OPMBNTFB0036,16,11416.06618,1,1
OPMBNTFB0037,68,5430.45059,1,1
OPMBNTFB0038,107,5188.49065,1,1
OPMBNTFB0039,20,8839.29,1,1
OPMBNTFB0042,5,5277,1,1
OPMBNTFB0045,26,8037.67815,1,1
OPMBNTFB0046,21,7961.07,1,1
OPMBNTFB0047,11,9331.14636,1,1
OPMBNTFB0048,3,11373,1,1
OPMBNTFB0050,10,7999,1,1
OPMBNTFB0051,2,8427.94,1,1
OPMBNTFB0052,11,3125,1,1
OPMBNTFB0053,2,17915,1,1
OPMBNTFB0055,1,6026.79,1,1
OPMBNTFB0057,6,15023,1,1
OPMBNTFB0058,25,14734.62714,1,1
OPMBNTFB0059,10,7395.36364,1,1
OPMBNTFB0061,3,7390.19455,1,1
OPMBNTFB0062,1,6250,1,1
OPMBNTFB0063,6,7460,1,1
OPMBNTFB0064,5,5782.40667,1,1
OPMBNTFB0065,1,8839.29,1,1
OPMBNTFB0066,25,8574.08258,1,1
OPMBNTFB0067,3,9898,1,1
OPMBNTFB0068,3,21763.105,1,1
OPMBNTFB0069,5,9722.714,1,1
OPMBNTFB0073,3,3615.5,1,1
OPMBNTFB0074,4,7065,1,1
OPMBNTFB0075,8,3506,1,1
OPMBNTFB0077,1,20242.965,1,1
OPMBNTFB0078,3,3660.71,1,1
OPMBNTFB0080,2,6479,1,1
OPMBNTFB0081,18,10758.9744,1,1
OPMBNTFB0083,6,3571.43,1,1
OPMBNTFB0084,6,10094.5,1,1
OPMBNTFB0086,6,4464.29,1,1
OPMBNTFB0087,4,7907,1,1
OPMBNTFB0088,1,4464.29,1,1
OPMBNTFB0089,8,3125,1,1
OPMBNTFB0093,64,5052.09892,1,1
OPMBNTFB0094,1,2053.57,1,1
OPMBNTFB0096,1,6825,1,1
OPMBNTFB0097,2,4285.71,1,1
OPMBNTFB0098,2,5998.99,1,1
OPMBNTFB0099,4,7053.57,1,1
OPMBNTFB0103,2,3781,1,1
OPMBNTFB0104,2,3571.43,1,1
OPMBNTFB0106,1,5009.79,1,1
OPMBNTFB0107,6,20089.29,1,1
OPMBNTFB0113,2,3000,1,1
OPMBNTFB0115,7,15848.21,1,1
OPMBNTFB0118,3,2078,1,1
OPMBNTFB0119,1,4642.86,1,1
OPMBNTFB0120,1,2369,1,1
OPMBNTFB0121,1,5580.36,1,1
OPMBNTFB0123,5,2708,1,1
OPMBNTFB0124,1,5494.32,1,1
OPMBNTFB0125,6,4017.86,1,1
OPMBNTFB0126,8,7999,1,1
OPMBNTFB0127,1,803,1,1
OPMBNTFB0128,1,10236,1,1
OPMBNTFB0130,1,8919.64,1,1
OPMBNTFB0132,6,7109,1,1
OPMBNTFB0133,2,10521,1,1
OPMBNTFB0140,2,8476,1,1
OPMBNTFB0142,3,5999,1,1
OPMBNTFB0146,2,4776.57,1,1
OPMBNTFB0151,3,6830.185,1,1
OPMBNTFB0154,8,6682,1,1
OPMBNTFB0155,1,2300,1,1
OPMBNTFB0164,4,3808,1,1
