sku,image,small_image,thumbnail,
QCMBA000036,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001851,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
SYGNBQB0398,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001886,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001900,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001905,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001916,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001933,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001937,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001938,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001954,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001955,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
SYGNBAS0398,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBA000158,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBA000188,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBA000197,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
SYGNBQB0514,+/Asus.jpg,+/Asus.jpg,+/Asus.jpg,
QCNBB001813,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001821,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001823,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBAS0330,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBAS0338,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBQB0368,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBQB0408,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBQB0415,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001909,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001919,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
OPNBNTF0207,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001927,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001929,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001943,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBQB0488,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBAS0368,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBAS0408,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBAS0415,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001963,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
QCNBB001965,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBQB0526,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,
SYGNBQB0355,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBQB0357,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBQB0393,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBQB0410,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBB001911,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBB001917,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBB001953,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBAS0355,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBAS0357,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBAS0393,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBAS0410,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBA000097,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBA000119,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBA000120,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBA000121,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBA000143,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBA000155,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBQB0505,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
QCNBB001971,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
SYGNBQB0527,+/Toshiba.png,+/Toshiba.png,+/Toshiba.png,
