sku,weight
QCNBAG00584,2.5
QCNBA000353,2.5
QCNBA000295,2.5
QCNBAG00675,2.5
QCNBA000226,2.5
QCNBA000288,2.5
QCNBA000292,2.5
QCNBA000296,2.5
QCNBA000310,2.5
QCNBA000533,2.5
QCNBAG00668,2.5
QCNBAG00676,2.5
QCNBAG00677,2.5
QCNBAG00678,2.5
QCNBAG00679,2.5
QCNBAG00680,2.5
QCNBAG00681,2.5
QCNBAG00682,2.5
QCNBAG00584,2.5
QCNBA000295,2.5
QCNBA000530,2.5
QCNBAG00672,2.5
QCNBA000532,2.5
QCNBA000293,2.5
QCNBAG00670,2.5
QCNBAG00669,2.5
QCNBAG00674,2.5
QCNBA000531,2.5
QCNBAG00567,2.5
QCNBAG00675,2.5
QCNBAG00671,2.5
QCNBAG00520,2.5
REFDE00117,2.5
OPNBNTF0225,2.5
OPNBNTF0100,2.5
REFDE00218,2.5
REFDE00079,2.5
REFDE00007,2.5
REFDE00310,2.5
REFDE00302,2.5
REFDE00114,2.5
REFDE00056,2.5
REFDE00041,2.5
REFDE00017,2.5
OPNBNTF0311,2.5
OPNBNTF0304,2.5
OPNBNTF0161,2.5
OPNBNTF0029,2.5
NEWNBK00108,2.5
QCNBAG00670,2.5
QCNBAG00671,2.5
QCNBAG00583,2.5
QCNBA000493,2.5
QCNBB002061,2.5
REFDE00257,2.5
REFDE00335,2.5
REFDE00342,2.5
REFDE00301,2.5
REFDE00020,2.5
REFDE00289,2.5
REFDE00274,2.5
REFDE00261,2.5
REFDE00254,2.5
REFDE00207,2.5
REFDE00198,2.5
REFDE00203,2.5
REFDE00197,2.5
REFDE00170,2.5
REFDE00137,2.5
REFDE00128,2.5
REFDE00129,2.5
REFDE00126,2.5
REFDE00127,2.5
REFDE00119,2.5
REFDE00121,2.5
REFDE00115,2.5
REFDE00090,2.5
REFDE00101,2.5
REFDE00053,2.5
REFDE00036,2.5
REFDE00009,2.5
OPNBNTF0237,2.5
OPNBNTF0234,2.5
OPNBNTF0229,2.5
OPNBNTF0230,2.5
OPNBNTF0321,2.5
OPNBNTF0318,2.5
OPNBNTF0313,2.5
OPNBNTF0301,2.5
OPNBNTF0239,2.5
OPNBNTF0148,2.5
OPNBNTF0162,2.5
OPNBNTF0108,2.5
OPNBNTF0109,2.5
OPNBNTF0002,2.5
NEWNBK00148,2.5
NEWNBK00110,2.5
NEWNBK00052,2.5
NEWNBK00032,2.5
NEWNBK00050,2.5
