store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,mapped_status,price,cpu,laptop_battery,color,laptop_processor
admin,base,Laptops,simple,"3,11",QCNBB001962,2,No,"Catalog, Search",GST0.36,Acer,QCNBK-B,"Acer-Aspire 5920(Core 2 Duo T5550 1.83GHz/2GB/160GB 15.6"")LXAKV0C01182306C052500",,Aspire 5920,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-Aspire 5920(Core 2 Duo T5550 1.83GHz/2GB/160GB 15.6"")LXAKV0C01182306C052500",simple,1 Year  Warranty.,No,0.00,Below I3,11.1V--4000mAh,Black,
admin,base,Laptops,simple,"3,11",SYGNBQB0501,2,No,"Catalog, Search",GST0.36,Sony,QCNBK-B,"Sony-PCG-5k6p(Core 2 Duo T8100 2.10GHz/2GB/200GB 14.0"")28273473-7004166",,PCG-5k6p,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Sony-PCG-5k6p(Core 2 Duo T8100 2.10GHz/2GB/200GB 14.0"")28273473-7004166",simple,1 Year  Warranty.,No,0.00,Below I3,11.1V--4800mAh,Black,
admin,base,Laptops,simple,"3,11",OPNBCX00039,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-A,"Dell-Insp 5567(Core I3 6006U 2.00GHz/4GB/1TB 15.6"")17X3ZL2",,Insp 5567,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp 5567(Core I3 6006U 2.00GHz/4GB/1TB 15.6"")17X3ZL2",simple,1 Year  Warranty.,No,0.00,i3,,Black,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0502,2,No,"Catalog, Search",GST0.36,Sony,QCNBK-B,"Sony-PCG 3A4L(Core 2 Duo T5550 1.83GHz/3GB/250GB 14"")C6009RVD",,PCG 3A4L,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Sony-PCG 3A4L(Core 2 Duo T5550 1.83GHz/3GB/250GB 14"")C6009RVD",simple,1 Year  Warranty.,No,0.00,Below I3,11.1V--115WH,Silver,
admin,base,Laptops,simple,"3,11",QCNBB001963,2,No,"Catalog, Search",GST0.36,Samsung,QCNBK-B,"Samsung-NP300E5X-A09IN(Pentium B970 2.30GHz/1GB/500GB 15.6"")HWDG91MCC00281V",,NP300E5X-A09IN,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Samsung-NP300E5X-A09IN(Pentium B970 2.30GHz/1GB/500GB 15.6"")HWDG91MCC00281V",simple,1 Year  Warranty.,No,0.00,Below I3,11.1V--47WH,Grey,
admin,base,Laptops,simple,"3,11",SYGNBQB0503,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-INSP N5010(Core I3 M330 2.13GHz/4GB/500GB 15.6"")BWSP5BS",,INSP N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-INSP N5010(Core I3 M330 2.13GHz/4GB/500GB 15.6"")BWSP5BS",simple,1 Year  Warranty.,No,0.00,I3,11.1V--4400mAh,Brown,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0504,2,No,"Catalog, Search",GST0.36,Acer,QCNBK-B,"Acer-Aspire 5745PG(Core I5 M450 2.40GHz/4GB/500GB 15.6"")LXPVV02006021181FD25000",,Aspire 5745PG,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-Aspire 5745PG(Core I5 M450 2.40GHz/4GB/500GB 15.6"")LXPVV02006021181FD25000",simple,1 Year  Warranty.,No,0.00,i5,10.8V--48Wh,Black,Core i5
admin,base,Laptops,simple,"3,11",SYGNBQB0505,2,No,"Catalog, Search",GST0.36,Toshiba,QCNBK-B,"Toshiba-Satellite L310(Dual Core T2370 1.73GHz/2GB/160GB 14"")48079918W",,Satellite L310,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Toshiba-Satellite L310(Dual Core T2370 1.73GHz/2GB/160GB 14"")48079918W",simple,1 Year  Warranty.,No,0.00,Below I3,10.8V--3700mAH,Grey,
admin,base,Laptops,simple,"3,11",SYGNBQB0506,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-B,"Lenovo-Thinkpad T60(Centrino duo T2400 1.83GHz/2GB/60GB 14"")L31D18X",,Thinkpad T60,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-Thinkpad T60(Centrino duo T2400 1.83GHz/2GB/60GB 14"")L31D18X",simple,1 Year  Warranty.,No,0.00,Below I3,10.8V--48WH,Black,
admin,base,Laptops,simple,"3,11",QCNBB001964,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-Pavillion G4(AMD A4-3330 X APU 2197.3Mhz/2GB/80GB 14.0"")5CD3225VB0",,Pavillion G4,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavillion G4(AMD A4-3330 X APU 2197.3Mhz/2GB/80GB 14.0"")5CD3225VB0",simple,1 Year  Warranty.,No,0.00,Below I3,10.8V--4200mAh,Grey,
