sku,visibility
QCNBB002167,4
QCNBA000493,4
QCNBAG00494,4
QCNBAG00506,4
QCNBB002303,4
QCNBA000521,4
QCNBAG00564,4
QCNBAG00569,4
QCNBAG00594,4
QCNBAG00616,4
QCNBAG00696,4
QCNBBG00002,4
QCNBBG00003,4
QCNBBG00017,4
QCNBBG00018,4
QCNBBG00019,4
QCNBBG00020,4
QCNBBG00021,4
QCNBBG00024,4
QCNBBG00025,4
QCNBA000327,4
QCNBAG00702,4
QCNBBG00031,4
QCNBBG00037,4
QCNBBG00036,4
QCNBBG00041,4
QCNBBG00047,4
QCNBBG00048,4
QCNBBG00053,4
QCNBBG00058,4
QCNBBG00059,4
QCNBBG00066,4
QCNBBG00069,4
QCNBB002153,4
QCNBB002154,4
QCNBB002156,4
QCNBB002165,4
QCNBBG00071,4
QCNBBG00082,4
QCNBBG00095,4
QCNBBG00108,4
QCNBBG00153,4
QCNBBG00156,4
QCNBBG00158,4
QCNBBG00159,4
QCNBBG00163,4
QCNBBG00164,4
QCNBBG00165,4
QCNBBG00167,4
QCNBBG00168,4
QCNBBG00185,4
QCNBBG00186,4
QCNBBG00187,4
QCNBBG00188,4
QCNBBG00198,4
QCNBB002315,4
QCNBB002319,4
QCNBBG00201,4
QCNBBG00189,4
QCNBBG00190,4
QCNBBG00193,4
QCNBBG00203,4
QCNBBG00209,4
QCNBBG00206,4
QCNBBG00195,4
QCNBB002316,4
QCNBBG00207,4
QCNBBG00196,4
QCNBBG00208,4
QCNBB002317,4
QCNBBG00214,4
QCNBBG00215,4
QCNBBG00216,4
QCNBB002321,4
QCNBB002323,4
QCNBB002324,4
QCNBB002325,4
QCNBB002328,4
QCNBBG00212,4
QCNBBG00217,4
QCNBBG00223,4
QCNBBG00224,4
QCNBBG00226,4
QCNBBG00229,4
QCNBBG00232,4
QCNBBG00234,4
QCNBBG00235,4
QCNBBG00236,4
QCNBBG00237,4
QCNBBG00238,4
QCNBBG00241,4
QCNBBG00243,4
QCNBBG00245,4
QCNBBG00246,4
QCNBBG00247,4
QCNBBG00248,4
QCNBBG00250,4
QCNBBG00251,4
QCNBBG00253,4
QCNBBG00254,4
QCNBBG00255,4
QCNBBG00256,4
QCNBBG00259,4
QCNBBG00260,4
QCNBBG00261,4
QCNBBG00262,4
QCNBBG00263,4
QCNBBG00264,4
QCNBBG00265,4
QCNBBG00266,4
QCNBBG00267,4
QCNBBG00249,4
QCNBBG00269,4
QCNBBG00273,4
QCNBBG00274,4
QCNBBG00275,4
QCNBBG00277,4
QCNBBG00278,4
QCNBBG00279,4
QCNBBG00281,4
QCNBBG00283,4
QCNBBG00284,4
QCNBBG00286,4
QCNBBG00287,4
QCNBBG00288,4
QCNBBG00289,4
QCNBBG00290,4
QCNBBG00294,4
QCNBBG00297,4
QCNBBG00298,4
QCNBBG00299,4
QCNBBG00240,4
QCNBBG00268,4
QCNBBG00271,4
QCNBBG00272,4
QCNBBG00291,4
QCNBBG00292,4
QCNBBG00293,4
QCNBBG00295,4
QCNBBG00300,4
QCNBBG00301,4
