sku,product_category_type
OPNBNTF0021,OPENNBKNTF
OPNBNTF0044,OPENNBKNTF
OPNBNTF0119,OPENNBKNTF
OPNBNTF0135,OPENNBKNTF
OPNBNTF0086,OPENNBKNTF
OPNBNTF0141,OPENNBKNTF
OPNBNTF0017,OPENNBKNTF
OPNBNTF0062,OPENNBKNTF
OPNBNTF0089,OPENNBKNTF
OPNBNTF0091,OPENNBKNTF
OPNBNTF0149,OPENNBKNTF
OPNBNTF0165,OPENNBKNTF
OPNBNTF0183,OPENNBKNTF
OPNBNTF0184,OPENNBKNTF
OPNBNTF0185,OPENNBKNTF
OPNBNTF0186,OPENNBKNTF
OPNBNTF0187,OPENNBKNTF
OPNBNTF0188,OPENNBKNTF
OPNBNTF0189,OPENNBKNTF
OPNBNTF0190,OPENNBKNTF
OPNBNTF0191,OPENNBKNTF
OPNBNTF0192,OPENNBKNTF
OPNBNTF0193,OPENNBKNTF
OPNBNTF0194,OPENNBKNTF
OPNBNTF0195,OPENNBKNTF
OPNBNTF0196,OPENNBKNTF
OPNBNTF0197,OPENNBKNTF
OPNBNTF0198,OPENNBKNTF
OPNBNTF0199,OPENNBKNTF
OPNBNTF0200,OPENNBKNTF
OPNBNTF0201,OPENNBKNTF
OPNBNTF0202,OPENNBKNTF
OPNBNTF0203,OPENNBKNTF
OPNBNTF0204,OPENNBKNTF
OPNBNTF0205,OPENNBKNTF
OPNBNTF0206,OPENNBKNTF
OPNBNTF0207,OPENNBKNTF
OPNBNTF0208,OPENNBKNTF
OPNBNTF0209,OPENNBKNTF
OPNBNTF0210,OPENNBKNTF
OPNBNTF0211,OPENNBKNTF
OPNBNTF0212,OPENNBKNTF
OPNBNTF0213,OPENNBKNTF
OPNBNTF0214,OPENNBKNTF
OPNBNTF0215,OPENNBKNTF
OPNBNTF0216,OPENNBKNTF
OPNBNTF0217,OPENNBKNTF
OPNBNTF0218,OPENNBKNTF
OPNBNTF0219,OPENNBKNTF
OPNBNTF0220,OPENNBKNTF
