sku,status,qty
QCNBB001905,Enabled,1
QCNBB001964,Enabled,1
QCNBB001992,Enabled,1
QCNBAG00580,Enabled,1
QCNBB000730,Enabled,1
QCNBB001105,Enabled,1
QCNBB001336,Enabled,1
QCNBB000829,Enabled,1
QCNBB002223,Enabled,1
QCNBB002264,Enabled,1
QCNBB002313,Enabled,1
QCNBB000412,Enabled,1
QCNBB000809,Enabled,1
QCNBB002115,Enabled,1
QCNBB002168,Enabled,1
QCNBB002169,Enabled,1
QCNBB002177,Enabled,1
QCNBB002208,Enabled,1
QCNBB002248,Enabled,1
QCNBB002249,Enabled,1
QCNBB002302,Enabled,1
QCNBAG00674,Enabled,1
QCNBB000437,Enabled,1
QCNBB000678,Enabled,1
QCNBB002133,Enabled,1
QCNBB002167,Enabled,1
QCNBB002250,Enabled,1
QCNBB002251,Enabled,1
QCNBB002253,Enabled,1
QCNBB002254,Enabled,1
QCNBB002255,Enabled,1
QCNBB002256,Enabled,1
QCNBB002257,Enabled,1
QCNBB002258,Enabled,1
QCNBB002268,Enabled,1
QCNBB002272,Enabled,1
QCNBB002306,Enabled,1
QCNBAG00669,Enabled,1
QCNBB002049,Enabled,1
QCNBAG00552,Enabled,5
QCNBB002152,Enabled,1
QCNBB002153,Enabled,1
QCNBB002154,Enabled,1
QCNBB002156,Enabled,1
QCNBB002157,Enabled,1
QCNBB002165,Enabled,1
QCNBB002171,Enabled,1
QCNBB002247,Enabled,1
QCNBAG00645,Enabled,1
