store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,color
admin,base,Laptops,simple,"3,11",QCNBB001527,2,No,"Catalog, Search",GST0.36,Toshiba,Yes,Yes,Yes,Core i3,QCNBK-B,"Toshiba-Satellite C660(Core I3 M380 2.53GHz/2GB/250GB 15.6"")ZA171228K",15 Days Testing Warranty.,Satellite C660,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Toshiba-Satellite C660(Core I3 M380 2.53GHz/2GB/250GB 15.6"")ZA171228K",simple,15 Days Testing Warranty.,No,No,10.8V--48Wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001528,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,QCNBK-B,"Sony-SVE15113ENB(Core I3 2370 M 2.40GHz/4GB/320GB 15.6"")C903HLF1",15 Days Testing Warranty.,SVE15113ENB,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-SVE15113ENB(Core I3 2370 M 2.40GHz/4GB/320GB 15.6"")C903HLF1",simple,15 Days Testing Warranty.,No,No,10.8V--4200mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001529,2,No,"Catalog, Search",GST0.36,Lenovo,Yes,Yes,Yes,,QCNBK-B,"Lenovo-2957(Atom N280 1.66GHz/1GB/80GB 10.1"")CBQ0638341",15 Days Testing Warranty.,2957,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-2957(Atom N280 1.66GHz/1GB/80GB 10.1"")CBQ0638341",simple,15 Days Testing Warranty.,No,No,10.8V--47Wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001530,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,QCNBK-B,"Sony-PCG-61212W(Core I3 M330 2.13GHz/2GB/320GB 14"")27507087-70066017",15 Days Testing Warranty.,PCG-61212W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-61212W(Core I3 M330 2.13GHz/2GB/320GB 14"")27507087-70066017",simple,15 Days Testing Warranty.,No,No,10.8V--4000mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001531,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,"Dell-Insp N5010(Core I3 M350 2.27GHz/3GB/500GB 15"")BRTG6BS",15 Days Testing Warranty.,Insp N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp N5010(Core I3 M350 2.27GHz/3GB/500GB 15"")BRTG6BS",simple,15 Days Testing Warranty.,No,No,11.1V--48wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001532,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,,QCNBK-B,"HP-G4-1303AU(AMD A4 -3330M 2.20GHz/2GB/500GB 14"")5CD3182DDS",15 Days Testing Warranty.,G4-1303AU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-G4-1303AU(AMD A4 -3330M 2.20GHz/2GB/500GB 14"")5CD3182DDS",simple,15 Days Testing Warranty.,No,No,10.8V--4200MAH,Grey
admin,base,Laptops,simple,"3,11",QCNBB001533,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,Core i3,QCNBK-B,"HP-Pavilion G6(Core I3 2330M 2.20GHz/4GB/500 14.1"")5CG13818FK",15 Days Testing Warranty.,Pavilion G6,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion G6(Core I3 2330M 2.20GHz/4GB/500 14.1"")5CG13818FK",simple,15 Days Testing Warranty.,No,No,10.8V--47WH,Gold
admin,base,Laptops,simple,"3,11",QCNBB001534,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,QCNBK-B,"Sony-PCG-71211W(Core I3 N370 2.40GHz/4GB/320GB 15.6"")C608QXVG",15 Days Testing Warranty.,PCG-71211W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71211W(Core I3 N370 2.40GHz/4GB/320GB 15.6"")C608QXVG",simple,15 Days Testing Warranty.,No,No,11.1V--3500MAH,Black
admin,base,Laptops,simple,"3,11",QCNBB001535,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,"Dell-Insp 3542(Core I3 4005U 1.70GHz/4GB/500GB 15.6"")HLJX212",15 Days Testing Warranty.,Insp 3542,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp 3542(Core I3 4005U 1.70GHz/4GB/500GB 15.6"")HLJX212",simple,15 Days Testing Warranty.,No,No,14.8V--40Wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001536,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,Core i3,QCNBK-B,"HP-G6-117TX(Core I3 -2310M 2.10GHz/3GB/500GB 15.6"")CNF1202D6C",15 Days Testing Warranty.,G6-117TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-G6-117TX(Core I3 -2310M 2.10GHz/3GB/500GB 15.6"")CNF1202D6C",simple,15 Days Testing Warranty.,No,No,10.8V--4200MAH,Grey
