store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,url_key,warrenty,model_no,weight,description,short_description,imp_desc,price,qty,is_in_stock,product_name,mapped_status
admin,base,Other Accessories,simple,7,NEWACC00003,2,No,"Catalog, Search",GST0.28,DELL,NEWACC,Dell Inspiron 14R/15R 6Cell Battery,dell-inspiron-14r-15r-6cell-battery-newacc00003,6 Months Replacement Warranty,,0.617,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,Dell Inspiron 14R/15R 6Cell Battery,No
admin,base,Other Accessories,simple,7,NEWACC00004,2,No,"Catalog, Search",GST0.28,DELL,NEWACC,Dell Inspiron / Vostro / Latitude - 6 Cell Battery,dell-inspiron-vostro-latitude-6-cell-battery-newacc00004,6 Months Replacement Warranty,,0.399,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,Dell Inspiron / Vostro / Latitude - 6 Cell Battery,No
admin,base,Other Accessories,simple,7,NEWACC00005,2,No,"Catalog, Search",GST0.18,DELL,NEWACC,Dell 65Watt Adapter,dell-65watt-adapter-newacc00005,6 Months Replacement Warranty,,0.422,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,Dell 65Watt Adapter,No
admin,base,Other Accessories,simple,7,NEWACC00006,2,No,"Catalog, Search",GST0.18,DELL,NEWACC,Dell 90Watt Adapter,dell-90watt-adapter-newacc00006,6 Months Replacement Warranty,,0.54,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,Dell 90Watt Adapter,No
