sku,category_ids,product_category_type
REFDE00041,"3,99",RFBNBK
REFDE00079,"3,99",RFBNBK
REFDE00113,"3,99",RFBNBK
REFDE00117,"3,99",RFBNBK
REFDE00186,"3,99",RFBNBK
REFDE00222,"3,99",RFBNBK
