store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,color,mapped_status
admin,base,Laptops,simple,"3,11",QCNBB001916,2,"Catalog, Search",GST0.36,Asus,,QCNBK-B,"Asus-X401A(Pentium B980 2.40GHz/4GB/320GB 14.0"")C9N0BC259621379",15 Days Testing Warranty.,X401A,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Asus-X401A(Pentium B980 2.40GHz/4GB/320GB 14.0"")C9N0BC259621379",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,White,No
admin,base,Laptops,simple,"3,11",QCNBB001917,2,"Catalog, Search",GST0.36,Toshiba,,QCNBK-B,"Toshiba-Satellite M100(Centrino T1350 1.86GHz/512MB/60GB 14"")Y6210184K",15 Days Testing Warranty.,Satellite M100,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Toshiba-Satellite M100(Centrino T1350 1.86GHz/512MB/60GB 14"")Y6210184K",simple,15 Days Testing Warranty.,No,No,10.8V--4000mAh,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001918,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-15-R078TU(Pentium N3540 2.16GHz/4GB/1TB 15.6"")CND4394WTZ",15 Days Testing Warranty.,15-R078TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-15-R078TU(Pentium N3540 2.16GHz/4GB/1TB 15.6"")CND4394WTZ",simple,15 Days Testing Warranty.,No,No,14.8V--2000mAh,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001919,2,"Catalog, Search",GST0.36,Samsung,,QCNBK-B,"Samsung-RV515(AMD E-450 1.65GHz/2GB/500GB 15.6"")HKDC91DC300463R",15 Days Testing Warranty.,RV515,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Samsung-RV515(AMD E-450 1.65GHz/2GB/500GB 15.6"")HKDC91DC300463R",simple,15 Days Testing Warranty.,No,No,11.1V--4400mAh,Grey,No
admin,base,Laptops,simple,"3,11",QCNBB001920,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-INSP 6400(Centrino Duo T2300 1.66GHz/2GB/80GB 15"")8DX9L1S",15 Days Testing Warranty.,INSP 6400,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-INSP 6400(Centrino Duo T2300 1.66GHz/2GB/80GB 15"")8DX9L1S",simple,15 Days Testing Warranty.,No,No,11.1V--5300WH,Silver,No
admin,base,Laptops,simple,"3,11",SYGNBQB0429,2,"Catalog, Search",GST0.36,DELL,Core i5,QCNBK-B,"DELL-Insp N4010(Core i5 M480 2.67GHz/4GB/500GB 14"")64TR7R1",15 Days Testing Warranty.,Insp N4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"DELL-Insp N4010(Core i5 M480 2.67GHz/4GB/500GB 14"")64TR7R1",simple,15 Days Testing Warranty.,No,No,11.1V--56WH,Red ,No
admin,base,Laptops,simple,"3,11",QCNBB001921,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-GQ42-355TU(Pentium P6100 2.00GHz/4GB/320GB 14"")CND0336XF3",15 Days Testing Warranty.,GQ42-355TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-GQ42-355TU(Pentium P6100 2.00GHz/4GB/320GB 14"")CND0336XF3",simple,15 Days Testing Warranty.,No,No,10.8V--4700mAh,Grey,No
admin,base,Laptops,simple,"3,11",QCNBB001922,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-15-g009ax(AMD A8-6410 2.00GHz/4GB/1TB 15.6"")CND4288KPL",15 Days Testing Warranty.,15-g009ax,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-15-g009ax(AMD A8-6410 2.00GHz/4GB/1TB 15.6"")CND4288KPL",simple,15 Days Testing Warranty.,No,No,14.8V--2620mAh,Brown,No
admin,base,Laptops,simple,"3,11",QCNBB001923,2,"Catalog, Search",GST0.36,Acer,,QCNBK-B,"Acer-Aspire 5542G(Atom Dual Core M300 2.00GHz/3GB/500GB 15.6"")LXPHB01001940243A52000",15 Days Testing Warranty.,Aspire 5542G,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-Aspire 5542G(Atom Dual Core M300 2.00GHz/3GB/500GB 15.6"")LXPHB01001940243A52000",simple,15 Days Testing Warranty.,No,No,10.8V--46WH,Blue,No
admin,base,Laptops,simple,"3,11",QCNBB001924,2,"Catalog, Search",GST0.36,Acer,,QCNBK-B,"Acer-Aspire 4738z(Pentium P6100 2.00GHz/2GB/500GB 14"")LXR6T0C0260332639F2500",15 Days Testing Warranty.,Aspire 4738z,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-Aspire 4738z(Pentium P6100 2.00GHz/2GB/500GB 14"")LXR6T0C0260332639F2500",simple,15 Days Testing Warranty.,No,No,10.8V--4200mAh,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001925,2,"Catalog, Search",GST0.36,Acer,,QCNBK-B,"Acer-Aspire 4736(Pentium Dual Core T4400 2.20GHz/2GB/320GB 14"")LXP540C02701505C631601",15 Days Testing Warranty.,Aspire 4736,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-Aspire 4736(Pentium Dual Core T4400 2.20GHz/2GB/320GB 14"")LXP540C02701505C631601",simple,15 Days Testing Warranty.,No,No,10.8V--4200mAh,Blue,No
admin,base,Laptops,simple,"3,11",SYGNBQB0430,2,"Catalog, Search",GST0.36,Lenovo ,Core i7,QCNBK-B,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV70M",15 Days Testing Warranty.,T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV70M",simple,15 Days Testing Warranty.,No,No,11.1V--94WH,Black,No
admin,base,Laptops,simple,"3,11",SYGNBQB0431,2,"Catalog, Search",GST0.36,Lenovo ,Core i7,QCNBK-B,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV61N",15 Days Testing Warranty.,T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV61N",simple,15 Days Testing Warranty.,No,No,11.1V--94WH,Black,No
admin,base,Laptops,simple,"3,11",SYGNBQB0432,2,"Catalog, Search",GST0.36,Lenovo ,Core i7,QCNBK-B,"Lenovo -T420(Core i7 2620M 2.80GHz/4GB/320GB 14"")R8-VV71Y",15 Days Testing Warranty.,T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo -T420(Core i7 2620M 2.80GHz/4GB/320GB 14"")R8-VV71Y",simple,15 Days Testing Warranty.,No,No,11.1V--94WH,Black,No
admin,base,Laptops,simple,"3,11",OPNBNTF0202,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,Dell-Vostro 15-3268(Pentium g4560 1.50GHz/4GB/1TB )96YSXJ2,15 Days Testing Warranty.,Vostro 15-3268,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-Vostro 15-3268(Pentium g4560 1.50GHz/4GB/1TB )96YSXJ2,simple,15 Days Testing Warranty.,No,No,Inbuild,Black,No
admin,base,Laptops,simple,"3,11",OPNBNTF0203,2,"Catalog, Search",GST0.36,LENOVO,,QCNBK-B,"LENOVO-ideapad 300-15isk(AMD A7 8GB/1TB 15.6"")PF0ME1FV",15 Days Testing Warranty.,ideapad 300-15isk,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"LENOVO-ideapad 300-15isk(AMD A7 8GB/1TB 15.6"")PF0ME1FV",simple,15 Days Testing Warranty.,No,No,14.1V--37WH,Silver,No
admin,base,Laptops,simple,"3,11",OPNBNTF0204,2,"Catalog, Search",GST0.36,LENOVO,,QCNBK-B,"LENOVO-Ideadpad 300(Celeron ® CPU N3060 1.60GHz/4GB/500GB 15"")PF0M1303",15 Days Testing Warranty.,Ideadpad 300,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"LENOVO-Ideadpad 300(Celeron ® CPU N3060 1.60GHz/4GB/500GB 15"")PF0M1303",simple,15 Days Testing Warranty.,No,No,Inbuild,Black,No
admin,base,Laptops,simple,"3,11",OPNBNTF0205,2,"Catalog, Search",GST0.36,DELL,,QCNBK-B,"DELL-INSP 3542(Pentium 3558 1.70GHz/4GB/500GB 15.6"")CGBW432",15 Days Testing Warranty.,INSP 3542,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"DELL-INSP 3542(Pentium 3558 1.70GHz/4GB/500GB 15.6"")CGBW432",simple,15 Days Testing Warranty.,No,No,14.8V--40Wh,Black,No
admin,base,Laptops,simple,"3,11",OPNBNTF0206,2,"Catalog, Search",GST0.36,LENOVO,Core i5,QCNBK-B,"LENOVO-Ideadpad 300-15ISK(Core I5 4200U 2.30GHz/4GB/1TB 15.6"")YB03871853",15 Days Testing Warranty.,Ideadpad 300-15ISK,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"LENOVO-Ideadpad 300-15ISK(Core I5 4200U 2.30GHz/4GB/1TB 15.6"")YB03871853",simple,15 Days Testing Warranty.,No,No,14.8V-2800MAH,Silver,No
admin,base,Laptops,simple,"3,11",OPNBNTF0207,2,"Catalog, Search",GST0.36,Samsung,,QCNBK-B,"Samsung-N100(Atom ™ N435 1.33GHz/1GB/320GB 10.0"")HKUG93PB80183W",15 Days Testing Warranty.,N100,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Samsung-N100(Atom ™ N435 1.33GHz/1GB/320GB 10.0"")HKUG93PB80183W",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,Black,No
