sku,image,small_image,thumbnail,gallery
OPMBNTFB0304,+/micromax-canvas-xpress-2-black.jpg,+/micromax-canvas-xpress-2-black.jpg,+/micromax-canvas-xpress-2-black.jpg,/micromax-canvas-xpress-2-black-right.jpg;/micromax-canvas-xpress-2-black-left.jpg
OPMBNTFB0365,+/Honor-4X-GOLD.jpg,+/Honor-4X-GOLD.jpg,+/Honor-4X-GOLD.jpg,/Honor-4X-GOLD-right.jpg;/Honor-4X-GOLD-left.jpg
OPMBNTFB0643,+/Moto-X-Style-XT1572-16GB-White.jpg,+/Moto-X-Style-XT1572-16GB-White.jpg,+/Moto-X-Style-XT1572-16GB-White.jpg,/Moto-X-Style-XT1572-16GB-White-right.jpg;/Moto-X-Style-XT1572-16GB-White-left.jpg
OPMBNTFB0216,+/motorola-nexus-6dark.jpg,+/motorola-nexus-6dark.jpg,+/motorola-nexus-6dark.jpg,/motorola-nexus-6dark-right.jpg;/motorola-nexus-6dark-left.jpg
OPMBNTFB0462,+/motorola-e-xt-1022-white.jpg,+/motorola-e-xt-1022-white.jpg,+/motorola-e-xt-1022-white.jpg,/motorola-e-xt-1022-white-right.jpg;/motorola-e-xt-1022-white-left.jpg
OPMBNTFB0194,+/Phicomm-Clue-630-white.jpg,+/Phicomm-Clue-630-white.jpg,+/Phicomm-Clue-630-white.jpg,/Phicomm-Clue-630-white-right.jpg;/Phicomm-Clue-630-white-left.jpg
OPMBNTFB0482,+/Phicomm-Clue-630-black.jpg,+/Phicomm-Clue-630-black.jpg,+/Phicomm-Clue-630-black.jpg,/Phicomm-Clue-630-black-right.jpg;/Phicomm-Clue-630-black-left.jpg
OPMBNTFB0120,+/moto-e-2nd-gen-xt1506-black.jpg,+/moto-e-2nd-gen-xt1506-black.jpg,+/moto-e-2nd-gen-xt1506-black.jpg,/moto-e-2nd-gen-xt1506-black-right.jpg;/moto-e-2nd-gen-xt1506-black-left.jpg
OPMBNTFB0086,+/Micromax-Canvas-Mega-Blue.jpg,+/Micromax-Canvas-Mega-Blue.jpg,+/Micromax-Canvas-Mega-Blue.jpg,/Micromax-Canvas-Mega-Blue-right.jpg;/Micromax-Canvas-Mega-Blue-left.jpg
OPMBNTFB0155,+/Phicomm-Energy-E653-Black.jpg,+/Phicomm-Energy-E653-Black.jpg,+/Phicomm-Energy-E653-Black.jpg,/Phicomm-Energy-E653-Black-right.jpg;/Phicomm-Energy-E653-Black-left.jpg
