store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,mapped_status,price,cpu,laptop_battery,color,laptop_processor
admin,base,Laptops,simple,"3,11",SYGNBAS0350,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Studio 1458(Core I5 M430 2.27GHz/4GB/500GB 14.0"")5QGW4BS",1 Year  Warranty.,Studio 1458,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Studio 1458(Core I5 M430 2.27GHz/4GB/500GB 14.0"")5QGW4BS",simple,1 Year  Warranty.,No,No,0.00,I5,11.1V--4800Mah,Black,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0351,2,"Catalog, Search",GST0.36,Lenovo,QCNBK-B,"Lenovo-3000 N200(Pentium Dual T2370 1.73GHz/1GB/120GB 15.6"")L3-EY270",1 Year  Warranty.,3000 N200,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-3000 N200(Pentium Dual T2370 1.73GHz/1GB/120GB 15.6"")L3-EY270",simple,1 Year  Warranty.,No,No,0.00,Below I3,11.1V--4400mAh,Silver,
admin,base,Laptops,simple,"3,11",SYGNBAS0352,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Vostro 3700(Core I5 M450 2.40GHz/4GB/320GB 16.0"")9HMY5N1",1 Year  Warranty.,Vostro 3700,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Vostro 3700(Core I5 M450 2.40GHz/4GB/320GB 16.0"")9HMY5N1",simple,1 Year  Warranty.,No,No,0.00,I5,11.1V--4200mAH,Grey ,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0353,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-INSP 6000(Pentium M 1.73GHz/1GB/120GB 15.4"")6BN3X81",1 Year  Warranty.,INSP 6000,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-INSP 6000(Pentium M 1.73GHz/1GB/120GB 15.4"")6BN3X81",simple,1 Year  Warranty.,No,No,0.00,Below I3,11.1V--4400mAh,Silver,
admin,base,Laptops,simple,"3,11",SYGNBAS0354,2,"Catalog, Search",GST0.36,Acer,QCNBK-B,Acer-Aspire 5740(Core I3 M330 2.13GHz/3GB/320GB)LXPM90C0030062A96D2000,1 Year  Warranty.,Aspire 5740,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Acer-Aspire 5740(Core I3 M330 2.13GHz/3GB/320GB)LXPM90C0030062A96D2000,simple,1 Year  Warranty.,No,No,0.00,I3,10.8V--4000mAh,Blue,Core i3
admin,base,Laptops,simple,"3,11",SYGNBAS0355,2,"Catalog, Search",GST0.36,Toshiba,QCNBK-B,"Toshiba-satelite c840-14211(core i3 2370m 2.30ghz/2gb/500gb 14"")5C279280W",1 Year  Warranty.,satelite c840-14211,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Toshiba-satelite c840-14211(core i3 2370m 2.30ghz/2gb/500gb 14"")5C279280W",simple,1 Year  Warranty.,No,No,0.00,i3,10.8v--4200mah,Black,Core i3
admin,base,Laptops,simple,"3,11",SYGNBAS0356,2,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-DV9500(Core 2 Duo T7500 2.20GHz/2GB/120GB 17.0"")CNF7513WFP",1 Year  Warranty.,DV9500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-DV9500(Core 2 Duo T7500 2.20GHz/2GB/120GB 17.0"")CNF7513WFP",simple,1 Year  Warranty.,No,No,0.00,Below I3,14.4V-63Wh,Black,
admin,base,Laptops,simple,"3,11",SYGNBAS0357,2,"Catalog, Search",GST0.36,Toshiba,QCNBK-B,"Toshiba-C660(Core I3 M380 2.53GHZ/2GB/320GB 15.6"")YA445557K",1 Year  Warranty.,C660,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Toshiba-C660(Core I3 M380 2.53GHZ/2GB/320GB 15.6"")YA445557K",simple,1 Year  Warranty.,No,No,0.00,I3,10.8v--4200mah,Black,Core i3
admin,base,Laptops,simple,"3,11",SYGNBAS0358,2,"Catalog, Search",GST0.36,FUJITSU,QCNBK-B,"FUJITSU-Lifebook S series -S2110(AMD Turion 64 MT3037MHZ /2GB/40GB 15.6"")R6300820",1 Year  Warranty.,Lifebook S series -S2110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"FUJITSU-Lifebook S series -S2110(AMD Turion 64 MT3037MHZ /2GB/40GB 15.6"")R6300820",simple,1 Year  Warranty.,No,No,0.00,Below I3,10.8V--5200mAh,Brown,
admin,base,Laptops,simple,"3,11",SYGNBAS0359,2,"Catalog, Search",GST0.36,Lenovo,QCNBK-B,"Lenovo-G580(Core I3 /2GB/320GB 15.6"")WB08695728",1 Year  Warranty.,G580,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-G580(Core I3 /2GB/320GB 15.6"")WB08695728",simple,1 Year  Warranty.,No,No,0.00,I3,MISSING,Black,Core i3
