sku,image,small_image,thumbnail,gallery
OPMBNTFB0028,+/Moto-G-4th-Gen-Black.jpg,+/Moto-G-4th-Gen-Black.jpg,+/Moto-G-4th-Gen-Black.jpg,/Moto-G-4th-Gen-Black-right.jpg;/Moto-G-4th-Gen-Black-left.jpg
OPMBNTFB0037,+/Moto-G-4th-Gen-Black.jpg,+/Moto-G-4th-Gen-Black.jpg,+/Moto-G-4th-Gen-Black.jpg,/Moto-G-4th-Gen-Black-right.jpg;/Moto-G-4th-Gen-Black-left.jpg
OPMBNTFB0047,+/Moto-X-Force-Black.jpg,+/Moto-X-Force-Black.jpg,+/Moto-X-Force-Black.jpg,/Moto-X-Force-Black-right.jpg;/Moto-X-Force-Black-left.jpg
OPMBNTFB0067,+/Samsung-Galaxy-On8-Gold.jpg,+/Samsung-Galaxy-On8-Gold.jpg,+/Samsung-Galaxy-On8-Gold.jpg,/Samsung-Galaxy-On8-Gold-right.jpg;/Samsung-Galaxy-On8-Gold-left.jpg
OPMBNTFB0099,+/Moto-M-Grey.jpg,+/Moto-M-Grey.jpg,+/Moto-M-Grey.jpg,/Moto-M-Grey-right.jpg;/Moto-M-Grey-left.jpg
OPMBNTFB0587,+/Moto-M-Grey.jpg,+/Moto-M-Grey.jpg,+/Moto-M-Grey.jpg,/Moto-M-Grey-right.jpg;/Moto-M-Grey-left.jpg
OPMBNTFB0681,+/XIAOMI-Redmi-2-Prime-Grey.jpg,+/XIAOMI-Redmi-2-Prime-Grey.jpg,+/XIAOMI-Redmi-2-Prime-Grey.jpg,/XIAOMI-Redmi-2-Prime-Grey-right.jpg;/XIAOMI-Redmi-2-Prime-Grey-left.jpg
OPMBNTFB0699,+/Xiaomi-Redmi-Note-Prime-White.jpg,+/Xiaomi-Redmi-Note-Prime-White.jpg,+/Xiaomi-Redmi-Note-Prime-White.jpg,/Xiaomi-Redmi-Note-Prime-White-right.jpg;/Xiaomi-Redmi-Note-Prime-White-left.jpg
OPMBNTFB0499,+/samsung-galaxy-grand-2.jpg,+/samsung-galaxy-grand-2.jpg,+/samsung-galaxy-grand-2.jpg,/samsung-galaxy-grand-2-right.jpg;/samsung-galaxy-grand-2-left.jpg
OPMBNTFB0678,+/Samsung-Galaxy-Note-3-White.jpg,+/Samsung-Galaxy-Note-3-White.jpg,+/Samsung-Galaxy-Note-3-White.jpg,/Samsung-Galaxy-Note-3-White-right.jpg;/Samsung-Galaxy-Note-3-White-left.jpg
OPMBNTFB0322,+/Samsung-Z3-Gold.jpg,+/Samsung-Z3-Gold.jpg,+/Samsung-Z3-Gold.jpg,/Samsung-Z3-Gold-right.jpg;/Samsung-Z3-Gold-left.jpg
OPMBNTFB0472,+/Moto-X-Force-White.jpg,+/Moto-X-Force-White.jpg,+/Moto-X-Force-White.jpg,/Moto-X-Force-White-right.jpg;/Moto-X-Force-White-left.jpg
OPMBNTFB0107,+/OnePlus-3T-Gunmetal.jpg,+/OnePlus-3T-Gunmetal.jpg,+/OnePlus-3T-Gunmetal.jpg,/OnePlus-3T-Gunmetal-right.jpg;/OnePlus-3T-Gunmetal-left.jpg
OPMBNTFB0096,+/Asus-Zenfone-Max-Black.jpg,+/Asus-Zenfone-Max-Black.jpg,+/Asus-Zenfone-Max-Black.jpg,/Asus-Zenfone-Max-Black-right.jpg;/Asus-Zenfone-Max-Black-left.jpg
OPMBNTFB0604,+/Moto-G5-Plus-Lunar-Grey.jpg,+/Moto-G5-Plus-Lunar-Grey.jpg,+/Moto-G5-Plus-Lunar-Grey.jpg,/Moto-G5-Plus-Lunar-Grey-right.jpg;/Moto-G5-Plus-Lunar-Grey-left.jpg
OPMBNTFB0632,+/Moto-M-Grey.jpg,+/Moto-M-Grey.jpg,+/Moto-M-Grey.jpg,/Moto-M-Grey-right.jpg;/Moto-M-Grey-left.jpg
OPMBNTFB0598,+/Moto-M-Gold.jpg,+/Moto-M-Gold.jpg,+/Moto-M-Gold.jpg,/Moto-M-Gold-right.jpg;/Moto-M-Gold-left.jpg
OPMBNTFB0504,+/samsung-galaxy-j5-prime-gold.jpg,+/samsung-galaxy-j5-prime-gold.jpg,+/samsung-galaxy-j5-prime-gold.jpg,/samsung-galaxy-j5-prime-gold-right.jpg;/samsung-galaxy-j5-prime-gold-left.jpg
OPMBNTFB0466,+/Motorola-Nexus-6-White.jpg,+/Motorola-Nexus-6-White.jpg,+/Motorola-Nexus-6-White.jpg,/Motorola-Nexus-6-White-right.jpg;/Motorola-Nexus-6-White-left.jpg
OPMBNTFB0608,+/asus-zenfone-3-max-grey.jpg,+/asus-zenfone-3-max-grey.jpg,+/asus-zenfone-3-max-grey.jpg,/asus-zenfone-3-max-grey-right.jpg;/asus-zenfone-3-max-grey-left.jpg
OPMBNTFB0622,+/asus-zenfone-3-max-gold.jpg,+/asus-zenfone-3-max-gold.jpg,+/asus-zenfone-3-max-gold.jpg,/asus-zenfone-3-max-gold-right.jpg;/asus-zenfone-3-max-gold-left.jpg
OPMBNTFB0596,+/sony-xperia-e1-d2-105-white.jpg,+/sony-xperia-e1-d2-105-white.jpg,+/sony-xperia-e1-d2-105-white.jpg,/sony-xperia-e1-d2-105-white-right.jpg;/sony-xperia-e1-d2-105-white-left.jpg
