sku,image,small_image,thumbnail,gallery
OPMBNTF0779,+/moto-X-play-XT1562-white.jpg,+/moto-X-play-XT1562-white.jpg,+/moto-X-play-XT1562-white.jpg,/moto-X-play-XT1562-white-right.jpg;/moto-X-play-XT1562-white-left.jpg
OPMBNTFB0779,+/moto-X-play-XT1562-white.jpg,+/moto-X-play-XT1562-white.jpg,+/moto-X-play-XT1562-white.jpg,/moto-X-play-XT1562-white-right.jpg;/moto-X-play-XT1562-white-left.jpg
NEWMOB00449,+/Motorola-X-Play.jpg,+/Motorola-X-Play.jpg,+/Motorola-X-Play.jpg,/Motorola-X-Play-right.jpg;/Motorola-X-Play-left.jpg
OPMBNTF0783,+/Motorola-X-Play.jpg,+/Motorola-X-Play.jpg,+/Motorola-X-Play.jpg,/Motorola-X-Play-right.jpg;/Motorola-X-Play-left.jpg
OPMBNTFB0783,+/Motorola-X-Play.jpg,+/Motorola-X-Play.jpg,+/Motorola-X-Play.jpg,/Motorola-X-Play-right.jpg;/Motorola-X-Play-left.jpg
OPMBNTFB0082,+/moto-E-2nd-gen-XT1506-White.jpg,+/moto-E-2nd-gen-XT1506-White.jpg,+/moto-E-2nd-gen-XT1506-White.jpg,/moto-E-2nd-gen-XT1506-White-right.jpg;/moto-E-2nd-gen-XT1506-White-left.jpg
OPMBNTFB0431,+/Lenovo-Vibe-X-S960-Silver.jpg,+/Lenovo-Vibe-X-S960-Silver.jpg,+/Lenovo-Vibe-X-S960-Silver.jpg,/Lenovo-Vibe-X-S960-Silver-right.jpg;/Lenovo-Vibe-X-S960-Silver-left.jpg
OPMBNTFB0437,+/Lenovo-Vibe-K4-Note.jpg,+/Lenovo-Vibe-K4-Note.jpg,+/Lenovo-Vibe-K4-Note.jpg,/Lenovo-Vibe-K4-Note-right.jpg;/Lenovo-Vibe-K4-Note-left.jpg
OPMBNTF0561,+/Asus-Zenfone-max-black.jpg,+/Asus-Zenfone-max-black.jpg,+/Asus-Zenfone-max-black.jpg,/Asus-Zenfone-max-black-right.jpg;/Asus-Zenfone-max-black-left.jpg
OPMBNTF0617,+/Asus-Zenfone3-white.jpg,+/Asus-Zenfone3-white.jpg,+/Asus-Zenfone3-white.jpg,/Asus-Zenfone3-white-right.jpg;/Asus-Zenfone3-white-left.jpg
OPMBNTF0618,+/Asus-Zenfone3-gold.jpg,+/Asus-Zenfone3-gold.jpg,+/Asus-Zenfone3-gold.jpg,/Asus-Zenfone3-gold-right.jpg;/Asus-Zenfone3-gold-left.jpg
OPMBNTF0627,+/Asus-Zenfone-Selfie-Gold.jpg,+/Asus-Zenfone-Selfie-Gold.jpg,+/Asus-Zenfone-Selfie-Gold.jpg,/Asus-Zenfone-Selfie-Gold-right.jpg;/Asus-Zenfone-Selfie-Gold-left.jpg
OPMBNTF0628,+/Asus-Zenfone-2-Laser-Black.jpg,+/Asus-Zenfone-2-Laser-Black.jpg,+/Asus-Zenfone-2-Laser-Black.jpg,/Asus-Zenfone-2-Laser-Black-right.jpg;/Asus-Zenfone-2-Laser-Black-left.jpg
ASMBA000094,+/samsung-galaxy-grand-duos.jpg,+/samsung-galaxy-grand-duos.jpg,+/samsung-galaxy-grand-duos.jpg,/samsung-galaxy-grand-duos-right.jpg;/samsung-galaxy-grand-duos-left.jpg
ASMBA000096,+/samsung-galaxy-core-2.jpg,+/samsung-galaxy-core-2.jpg,+/samsung-galaxy-core-2.jpg,/samsung-galaxy-core-2-right.jpg;/samsung-galaxy-core-2-left.jpg
ASMBA000102,+/samsung-galaxy-note-3.jpg,+/samsung-galaxy-note-3.jpg,+/samsung-galaxy-note-3.jpg,+/samsung-galaxy-note-3.jpg
ASMBA000091,+/samsung-galaxy-grand-prime.jpg,+/samsung-galaxy-grand-prime.jpg,+/samsung-galaxy-grand-prime.jpg,+/samsung-galaxy-grand-prime.jpg
ASMBA000101,+/samsung-galaxy-y.jpg,+/samsung-galaxy-y.jpg,+/samsung-galaxy-y.jpg,/samsung-galaxy-y-right.jpg;/samsung-galaxy-y-left.jpg
ASMBA000083,+/lenovo-A526.jpg,+/lenovo-A526.jpg,+/lenovo-A526.jpg,/lenovo-A526-right.jpg;/lenovo-A526-left.jpg
ASMBA000095,+/samsung-galaxy-grand-2.jpg,+/samsung-galaxy-grand-2.jpg,+/samsung-galaxy-grand-2.jpg,/samsung-galaxy-grand-2-right.jpg;/samsung-galaxy-grand-2-left.jpg
ASMBA000098,+/Lenovo-Vibe-K5-Note.jpg,+/Lenovo-Vibe-K5-Note.jpg,+/Lenovo-Vibe-K5-Note.jpg,/Lenovo-Vibe-K5-Note-right.jpg;/Lenovo-Vibe-K5-Note-left.jpg
ASMBA000105,+/samsung-galaxy-note-1.jpg,+/samsung-galaxy-note-1.jpg,+/samsung-galaxy-note-1.jpg,+/samsung-galaxy-note-1.jpg
