sku,qty,status
OPMBNTF0425,1,2
OPMBNTF0426,1,2
OPMBNTF0427,1,2
OPMBNTF0429,1,2
OPMBNTF0436,3,2
OPMBNTF0440,1,2
OPMBNTF0442,1,2
OPMBNTF0445,1,2
OPMBNTF0447,1,2
OPMBNTF0449,1,2
OPMBNTF0452,1,2
OPMBNTF0453,1,2
OPMBNTF0454,1,2
OPMBNTF0456,1,2
OPMBNTF0458,1,2
OPMBNTF0459,1,2
OPMBNTF0460,1,2
OPMBNTF0461,1,2
OPMBNTF0462,1,2
OPMBNTF0463,14,2
OPMBNTF0464,1,2
OPMBNTF0465,30,2
OPMBNTF0466,1,2
OPMBNTF0467,236,2
OPMBNTF0468,1,2
OPMBNTF0469,5,2
OPMBNTF0472,1,2
OPMBNTF0475,1,2
OPMBNTF0476,1,2
OPMBNTF0477,1,2
OPMBNTF0478,1,2
OPMBNTF0481,1,2
OPMBNTF0482,1,2
OPMBNTF0485,1,2
OPMBNTF0486,1,2
OPMBNTF0487,0,2
OPMBNTF0494,1,2
OPMBNTF0495,34,2
OPMBNTF0496,1,2
OPMBNTF0500,1,2
OPMBNTF0503,1,2
OPMBNTF0507,1,2
OPMBNTF0511,14,2
OPMBNTF0512,4,2
OPMBNTF0518,1,2
OPMBNTF0519,1,2
OPMBNTF0520,1,2
OPMBNTF0532,1,2
OPMBNTF0534,1,2
OPMBNTF0535,1,2
OPMBNTF0536,4,2
OPMBNTF0543,1,2
OPMBNTF0545,1,2
OPMBNTF0546,1,2
OPMBNTF0552,1,2
OPMBNTF0553,38,2
OPMBNTF0554,11,2
OPMBNTF0555,4,2
OPMBNTF0557,25,2
OPMBNTF0560,3,2
OPMBNTF0561,4,2
OPMBNTF0563,1,2
OPMBNTF0564,4,2
OPMBNTF0565,2,2
OPMBNTF0568,15,2
OPMBNTF0569,2,2
OPMBNTF0570,2,2
OPMBNTF0571,7,2
OPMBNTF0583,3,2
OPMBNTF0584,29,2
OPMBNTF0587,4,2
OPMBNTF0588,1,2
OPMBNTF0589,1,2
OPMBNTF0590,1,2
OPMBNTF0592,1,2
OPMBNTF0595,2,2
OPMBNTF0598,7,2
OPMBNTF0599,8,2
OPMBNTF0600,2,2
OPMBNTF0601,1,2
OPMBNTF0603,23,2
OPMBNTF0604,5,2
OPMBNTF0605,23,2
OPMBNTF0606,4,2
OPMBNTF0608,4,2
OPMBNTF0609,3,2
OPMBNTF0610,3,2
OPMBNTF0611,2,2
OPMBNTF0614,1,2
OPMBNTF0616,5,2
OPMBNTF0617,1,2
OPMBNTF0618,1,2
OPMBNTF0619,2,2
OPMBNTF0621,2,2
OPMBNTF0623,1,2
OPMBNTF0626,1,2
OPMBNTF0627,1,2
OPMBNTF0628,1,2
OPMBNTF0629,1,2
OPMBNTF0630,1,2
OPMBNTF0632,1,2
OPMBNTF0635,20,2
OPMBNTF0636,1,2
OPMBNTF0637,1,2
OPMBNTF0640,7,2
OPMBNTF0642,1,2
OPMBNTF0643,71,2
OPMBNTF0646,6,2
OPMBNTF0648,14,2
OPMBNTF0649,1,2
OPMBNTF0650,40,2
OPMBNTF0652,5,2
OPMBNTF0653,5,2
OPMBNTF0656,9,2
OPMBNTF0657,9,2
OPMBNTF0660,1,2
OPMBNTF0661,1,2
OPMBNTF0663,3,2
OPMBNTF0664,7,2
OPMBNTF0668,7,2
OPMBNTF0674,0,2
OPMBNTF0676,2,2
OPMBNTF0677,0,2
OPMBNTF0682,9,2
OPMBNTF0683,1,2
OPMBNTF0684,1,2
OPMBNTF0685,2,2
OPMBNTF0689,1,2
OPMBNTF0697,1,2
OPMBNTF0699,3,2
OPMBNTF0700,13,2
OPMBNTF0702,1,2
OPMBNTF0703,1,2
OPMBNTF0711,27,2
OPMBNTF0712,1,2
OPMBNTF0714,6,2
OPMBNTF0715,8,2
OPMBNTF0716,6,2
OPMBNTF0720,1,2
OPMBNTF0724,24,2
OPMBNTF0725,17,2
OPMBNTF0727,11,2
OPMBNTF0763,6,2
