sku,description,short_description,imp_desc
QCMBB000043,"<ul><li>5.5 inch HD Display</li>
<li>8MP Rear Camera</li>
<li>5MP Front Camera</li>
<li>2900 mAh Li-Ion Battery</li>
<li>8-core Cortex-A53 Processor</li></ul>","<ul><li>5.5 inch HD Display</li>
<li>8MP Rear Camera</li>
<li>5MP Front Camera</li>
<li>2900 mAh Li-Ion Battery</li>
<li>8-core Cortex-A53 Processor</li></ul>","<ul><li>5.5 inch HD Display</li>
<li>8MP Rear Camera</li>
<li>5MP Front Camera</li>
<li>2900 mAh Li-Ion Battery</li>
<li>8-core Cortex-A53 Processor</li></ul>"
NEWMOB00039,"<ul><li>DUAL SIM</li>
<li>3G CONNECTIVITY</li>
<li>CPU processor - 1.2Ghz Quad-Core ARM Cortex-A7</li>
<li>Display type - TFT LCD IPS</li>
<li>Screen size - 4.5"" inches</li></ul>","<ul><li>DUAL SIM</li>
<li>3G CONNECTIVITY</li>
<li>CPU processor - 1.2Ghz Quad-Core ARM Cortex-A7</li>
<li>Display type - TFT LCD IPS</li>
<li>Screen size - 4.5"" inches</li></ul>","<ul><li>DUAL SIM</li>
<li>3G CONNECTIVITY</li>
<li>CPU processor - 1.2Ghz Quad-Core ARM Cortex-A7</li>
<li>Display type - TFT LCD IPS</li>
<li>Screen size - 4.5"" inches</li></ul>"
QCMBB000085,"<ul><li>Display - 5.20 inches</li>
<li>Front Camera - 2 MP</li>
<li>Rear Camera -13 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 4.4.4</li>
<li>Processor - 2.5GHz quad-core</li></ul>
","<ul><li>Display - 5.20 inches</li>
<li>Front Camera - 2 MP</li>
<li>Rear Camera -13 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 4.4.4</li>
<li>Processor - 2.5GHz quad-core</li></ul>
","<ul><li>Display - 5.20 inches</li>
<li>Front Camera - 2 MP</li>
<li>Rear Camera -13 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 4.4.4</li>
<li>Processor - 2.5GHz quad-core</li></ul>
"
QCMBB000141,"<ul><li>Display - 4.00 inches</li>
<li>Front Camera - 0.3 MP</li>
<li>Rear Camera -5 MP</li>
<li>Resolution - 480 x 800 pixels</li>
<li>OS - Android 4.0</li>
<li>Processor - 1GHz</li></ul>
","<ul><li>Display - 4.00 inches</li>
<li>Front Camera - 0.3 MP</li>
<li>Rear Camera -5 MP</li>
<li>Resolution - 480 x 800 pixels</li>
<li>OS - Android 4.0</li>
<li>Processor - 1GHz</li></ul>
","<ul><li>Display - 4.00 inches</li>
<li>Front Camera - 0.3 MP</li>
<li>Rear Camera -5 MP</li>
<li>Resolution - 480 x 800 pixels</li>
<li>OS - Android 4.0</li>
<li>Processor - 1GHz</li></ul>
"
OPMBNTF0174,"<ul><li>Display - 5.5 inches</li>
<li>Front Camera - 8 MP</li>
<li>Rear Camera -13 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 (Marshmallow)</li>
<li>Processor - 1.6GHz octa-core</li></ul>
","<ul><li>Display - 5.5 inches</li>
<li>Front Camera - 8 MP</li>
<li>Rear Camera -13 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 (Marshmallow)</li>
<li>Processor - 1.6GHz octa-core</li></ul>
","<ul><li>Display - 5.5 inches</li>
<li>Front Camera - 8 MP</li>
<li>Rear Camera -13 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 (Marshmallow)</li>
<li>Processor - 1.6GHz octa-core</li></ul>
"
OPMBNTF0073,"<ul><li>Display - 5 inches</li>
<li>Rear Camera -8 MP</li>
<li>Processor - 1.1GHz quad-core</li>
<li>2300 mAh battery</li></ul>
","<ul><li>Display - 5 inches</li>
<li>Rear Camera -8 MP</li>
<li>Processor - 1.1GHz quad-core</li>
<li>2300 mAh battery</li></ul>
","<ul><li>Display - 5 inches</li>
<li>Rear Camera -8 MP</li>
<li>Processor - 1.1GHz quad-core</li>
<li>2300 mAh battery</li></ul>
"
OPMBNTF0267,"<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
","<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
","<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
"
OPMBNTF0537,"<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
","<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
","<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
"
OPMBNTF0554,"<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
","<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
","<ul><li>Display - 6.44 inches</li>
<li>Front Camera - 5 MP</li>
<li>Rear Camera -16 MP</li>
<li>Resolution - 1080 x 1920 pixels</li>
<li>OS - Android 6.0.1 </li>
<li>Processor - hexa-core</li></ul>
"
OPMBNTF0574,"<ul><li>Display - 5 inches</li>
<li>Processor - 1.3GHz dual-core</li>
<li>OS - Androd 4.4</li></ul>
","<ul><li>Display - 5 inches</li>
<li>Processor - 1.3GHz dual-core</li>
<li>OS - Androd 4.4</li></ul>
","<ul><li>Display - 5 inches</li>
<li>Processor - 1.3GHz dual-core</li>
<li>OS - Androd 4.4</li></ul>
"
