sku,qty,Price,is_in_stock,status
OPMBNTF0280,1,6872,1,1
OPMBNTF0281,2,5770,1,1
OPMBNTF0282,1,4374.38,1,1
OPMBNTF0283,1,5783,1,1
OPMBNTF0284,2,500,1,1
OPMBNTF0285,1,1558,1,1
OPMBNTF0286,2,1200,1,1
OPMBNTF0289,1,757,1,1
OPMBNTF0290,1,3582,1,1
OPMBNTF0291,1,3411,1,1
OPMBNTF0292,2,3411,1,1
OPMBNTF0293,2,500,1,1
OPMBNTF0296,2,5827.89,1,1
OPMBNTF0298,1,2369,1,1
OPMBNTF0301,1,5599,1,1
OPMBNTF0302,4,4776.285,1,1
OPMBNTF0303,2,3219,1,1
OPMBNTF0304,1,773,1,1
OPMBNTF0306,2,12704.12,1,1
OPMBNTF0307,1,2160,1,1
OPMBNTF0309,2,6999,1,1
OPMBNTF0310,1,9084,1,1
OPMBNTF0311,1,9289,1,1
OPMBNTF0313,1,9200,1,1
OPMBNTF0315,6,16790.00778,1,1
OPMBNTF0316,2,27810,1,1
OPMBNTF0319,1,1869,1,1
OPMBNTF0321,1,3466,1,1
OPMBNTF0322,1,3466,1,1
OPMBNTF0324,2,2678,1,1
OPMBNTF0327,1,4199,1,1
OPMBNTF0331,1,5687,1,1
OPMBNTF0347,1,500,1,1
OPMBNTF0348,1,500,1,1
OPMBNTF0349,1,3518,1,1
OPMBNTF0354,1,6824,1,1
OPMBNTF0355,1,6200,1,1
OPMBNTF0362,1,10747,1,1
OPMBNTF0367,1,8188.8625,1,1
OPMBNTF0368,3,9577,1,1
OPMBNTF0376,1,500,1,1
OPMBNTF0377,1,500,1,1
OPMBNTF0407,1,4094,1,1
OPMBNTF0410,1,3926,1,1
OPMBNTF0411,1,2713,1,1
OPMBNTF0420,1,3857,1,1
OPMBNTF0422,1,2151,1,1
OPMBNTF0423,1,2151,1,1
OPMBNTF0427,1,721,1,1
OPMBNTF0436,3,9274.47071,1,1
OPMBNTF0440,1,5133,1,1
OPMBNTF0442,1,5800,1,1
OPMBNTF0462,1,2990.47,1,1
OPMBNTF0463,14,4537.89714,1,1
OPMBNTF0465,30,5024.78927,1,1
OPMBNTF0466,1,14478.5,1,1
OPMBNTF0467,236,19065.96064,1,1
OPMBNTF0468,1,9600,1,1
OPMBNTF0469,5,6917.40333,1,1
OPMBNTF0472,1,14766.86,1,1
OPMBNTF0476,1,7400,1,1
OPMBNTF0478,1,26485.94,1,1
OPMBNTF0482,1,3072.03,1,1
OPMBNTF0485,1,500,1,1
OPMBNTF0486,1,500,1,1
OPMBNTF0487,0,9170,1,1
OPMBNTF0495,34,14316.40167,1,1
OPMBNTF0496,1,4100.32,1,1
OPMBNTF0500,1,6249.38,1,1
OPMBNTF0511,14,11178.35133,1,1
OPMBNTF0512,4,9999.38,1,1
OPMBNTF0532,1,1600,1,1
OPMBNTF0535,1,500,1,1
OPMBNTF0536,4,8037.847,1,1
OPMBNTF0545,1,500,1,1
OPMBNTF0552,1,6533.87222,1,1
OPMBNTF0553,38,7365.03667,1,1
OPMBNTF0554,11,8820.63692,1,1
OPMBNTF0555,4,4910.9332,1,1
OPMBNTF0557,25,10374.24774,1,1
OPMBNTF0560,3,31015.5725,1,1
OPMBNTF0563,1,2696.7,1,1
OPMBNTF0564,4,9893.285,1,1
OPMBNTF0565,2,4886.15,1,1
OPMBNTF0568,15,27096.31714,1,1
OPMBNTF0569,2,15495.8375,1,1
OPMBNTF0570,2,5184.68333,1,1
OPMBNTF0571,7,8035.71,1,1
OPMBNTF0583,3,3750.54333,1,1
OPMBNTF0584,29,10655.88333,1,1
OPMBNTF0587,4,8570.9175,1,1
OPMBNTF0588,1,6872,1,1
OPMBNTF0592,1,6174,1,1
OPMBNTF0595,2,3228,1,1
OPMBNTF0598,7,10970.73,1,1
OPMBNTF0599,8,4447.35643,1,1
OPMBNTF0600,2,7125.274,1,1
OPMBNTF0601,1,10633.64857,1,1
OPMBNTF0603,23,9408.26677,1,1
OPMBNTF0604,5,9376.68833,1,1
OPMBNTF0605,23,7021.06333,1,1
OPMBNTF0606,4,9888.77,1,1
OPMBNTF0608,4,6874.38,1,1
OPMBNTF0609,3,4746.90075,1,1
OPMBNTF0610,3,7499.38,1,1
OPMBNTF0611,2,4999.38,1,1
OPMBNTF0616,5,8749.38,1,1
OPMBNTF0619,2,6874.38,1,1
OPMBNTF0621,2,6874.38,1,1
OPMBNTF0626,1,6249.38,1,1
OPMBNTF0630,1,6406.945,1,1
OPMBNTF0632,1,12233.35,1,1
OPMBNTF0635,20,7523.92,1,1
OPMBNTF0636,1,19284.82,1,1
OPMBNTF0637,1,20570.48,1,1
OPMBNTF0640,7,7539.93,1,1
OPMBNTF0642,1,3570.98,1,1
OPMBNTF0643,71,13564.29,1,1
OPMBNTF0646,6,3749.32545,1,1
OPMBNTF0648,14,6324.02588,1,1
OPMBNTF0649,1,10491.1,1,1
OPMBNTF0650,40,14312.5,1,1
OPMBNTF0652,5,20654.39375,1,1
OPMBNTF0653,5,24562.5,1,1
OPMBNTF0656,9,36187.5,1,1
OPMBNTF0657,9,36187.5,1,1
OPMBNTF0660,1,6026.185,1,1
OPMBNTF0661,1,6963.875,1,1
OPMBNTF0663,3,6361,1,1
OPMBNTF0664,7,32730.1368,1,1
OPMBNTF0668,7,9999.38,1,1
OPMBNTF0674,0,5993.75,1,1
OPMBNTF0676,2,13743.964,1,1
OPMBNTF0677,0,3749.37533,1,1
OPMBNTF0684,1,45893.285,1,1
OPMBNTF0685,2,4369.67,1,1
OPMBNTF0689,1,3055.61,1,1
OPMBNTF0697,1,3770,1,1
OPMBNTF0699,3,4464.29,1,1
OPMBNTF0700,13,40493.12,1,1
OPMBNTF0702,1,14999.46,1,1
OPMBNTF0703,1,3655,1,1
OPMBNTF0712,1,27825,1,1
OPMBNTF0714,6,41573,1,1
OPMBNTF0715,8,2321,1,1
OPMBNTF0716,6,2321,1,1
OPMBNTF0720,1,4263,1,1
OPMBNTF0724,24,6964.3,1,1
OPMBNTF0725,17,8125,1,1
OPMBNTF0727,11,6964.3,1,1
OPMBNTF0763,6,10491.1,1,1
