sku,color
ROCKMAN-GREEN,Green
ROCKMAN-ORANGE,Orange
ROCKMAN-YELLOW,Yellow
X-STANDER-BLUE,Blue
LK-BZ014-RED,Red
LK-BZ014-YELLOW,Yellow
LK-B060-BLACK,Black
LK-B060-WHITE,White
X-STANDER-RED,Blue
