store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,mapped_status,price,cpu,laptop_battery,color,laptop_processor
admin,base,Laptops,simple,"3,11",SYGNBQB0562,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Vostro 2420(Core i3 2328M 2.20GHz/2GB/500GB 15.6"")BKS4MV1",1 Year  Warranty.,Vostro 2420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Vostro 2420(Core i3 2328M 2.20GHz/2GB/500GB 15.6"")BKS4MV1",simple,1 Year  Warranty.,No,0.00,i3,11.1V--48WH,Grey,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0563,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Vostro 1450(Core i3 2350M 2.30GHz/2GB/500GB 15.6"")80K8RR1",1 Year  Warranty.,Vostro 1450,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Vostro 1450(Core i3 2350M 2.30GHz/2GB/500GB 15.6"")80K8RR1",simple,1 Year  Warranty.,No,0.00,i3,11.1V--48WH,Grey,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0564,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Vostro 2420(Core i3 2348M 2.30GHz/2GB/500GB 15.6"")18TRXX1",1 Year  Warranty.,Vostro 2420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Vostro 2420(Core i3 2348M 2.30GHz/2GB/500GB 15.6"")18TRXX1",simple,1 Year  Warranty.,No,0.00,i3,11.1V--48WH,Grey,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0565,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-B,"Lenovo-Thinkpad L420(Core i5 2520M 2.50GHz/4GB/320GB 14"")LR-6XWEV",1 Year  Warranty.,Thinkpad L420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-Thinkpad L420(Core i5 2520M 2.50GHz/4GB/320GB 14"")LR-6XWEV",simple,1 Year  Warranty.,No,0.00,i5,11.1V--49WH,Black,Core i5
admin,base,Laptops,simple,"3,11",SYGNBQB0566,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Vostro 2420(Core i3 2348M 2.30GHz/2GB/500GB 15.6"")FRR9BX1",1 Year  Warranty.,Vostro 2420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Vostro 2420(Core i3 2348M 2.30GHz/2GB/500GB 15.6"")FRR9BX1",simple,1 Year  Warranty.,No,0.00,i3,11.1V--48WH,Grey,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0567,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-B,"Lenovo-Thinkpad L420(Core i5 2520M 2.50GHz/4GB/320GB 14"")PB-DMT98",1 Year  Warranty.,Thinkpad L420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-Thinkpad L420(Core i5 2520M 2.50GHz/4GB/320GB 14"")PB-DMT98",simple,1 Year  Warranty.,No,0.00,i5,11.1V--49WH,Black,Core i5
admin,base,Laptops,simple,"3,11",SYGNBQB0568,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Vostro 2420(Core i3 3110M 2.40GHz/2GB/500GB 15.6"")1C544Y1",1 Year  Warranty.,Vostro 2420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Vostro 2420(Core i3 3110M 2.40GHz/2GB/500GB 15.6"")1C544Y1",simple,1 Year  Warranty.,No,0.00,i3,11.1V--48WH,Grey,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0569,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-inspiron(core 2 duo T6400 2.00GHZ/3GB /320 GB 15.6"")GB253BS",1 Year  Warranty.,inspiron,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-inspiron(core 2 duo T6400 2.00GHZ/3GB /320 GB 15.6"")GB253BS",simple,1 Year  Warranty.,No,0.00,Below I3,10.8--48wh,Black,
admin,base,Laptops,simple,"3,11",SYGNBQB0570,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-INSP 1555(Core 2 Duo T6600 2.20GHz/4GB/320GB 15.6"")1JW64BS",1 Year  Warranty.,INSP 1555,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-INSP 1555(Core 2 Duo T6600 2.20GHz/4GB/320GB 15.6"")1JW64BS",simple,1 Year  Warranty.,No,0.00,Below I3,11.1V--56Wh,Black,
admin,base,Laptops,simple,"3,11",SYGNBQB0571,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,HP-14-Q001TU(Celeron 2955u 1.4GHz/4GB/16GB SSD)5CD3398WBP,1 Year  Warranty.,14-Q001TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,HP-14-Q001TU(Celeron 2955u 1.4GHz/4GB/16GB SSD)5CD3398WBP,simple,1 Year  Warranty.,No,0.00,Below I3,Inbuild,White,
