sku,category_ids,product_category_type
QCNBB000144,"3,148",QCNBK-B
QCNBB000145,"3,148",QCNBK-B
QCNBB000146,"3,148",QCNBK-B
QCNBB000147,"3,148",QCNBK-B
QCNBB000148,"3,148",QCNBK-B
QCNBB000149,"3,148",QCNBK-B
QCNBB000152,"3,148",QCNBK-B
QCNBB000153,"3,148",QCNBK-B
QCNBB000154,"3,148",QCNBK-B
QCNBB000155,"3,148",QCNBK-B
QCNBB000156,"3,148",QCNBK-B
QCNBB000157,"3,148",QCNBK-B
QCNBB000158,"3,148",QCNBK-B
QCNBB000159,"3,148",QCNBK-B
QCNBB000160,"3,148",QCNBK-B
QCNBB000163,"3,148",QCNBK-B
QCNBB000164,"3,148",QCNBK-B
QCNBB000165,"3,148",QCNBK-B
QCNBB000166,"3,148",QCNBK-B
QCNBB000167,"3,148",QCNBK-B
QCNBB000168,"3,148",QCNBK-B
QCNBB000169,"3,148",QCNBK-B
QCNBB000170,"3,148",QCNBK-B
QCNBB000171,"3,148",QCNBK-B
QCNBB000172,"3,148",QCNBK-B
QCNBB000173,"3,148",QCNBK-B
QCNBB000174,"3,148",QCNBK-B
QCNBB000175,"3,148",QCNBK-B
QCNBB000176,"3,148",QCNBK-B
QCNBB000177,"3,148",QCNBK-B
QCNBB000178,"3,148",QCNBK-B
QCNBB000179,"3,148",QCNBK-B
QCNBB000181,"3,148",QCNBK-B
QCNBB000182,"3,148",QCNBK-B
QCNBB000183,"3,148",QCNBK-B
QCNBB000184,"3,148",QCNBK-B
QCNBB000185,"3,148",QCNBK-B
QCNBB000186,"3,148",QCNBK-B
QCNBB000187,"3,148",QCNBK-B
QCNBB000188,"3,148",QCNBK-B
QCNBB000189,"3,148",QCNBK-B
QCNBB000191,"3,148",QCNBK-B
QCNBB000192,"3,148",QCNBK-B
QCNBB000193,"3,148",QCNBK-B
QCNBB000194,"3,148",QCNBK-B
QCNBB000195,"3,148",QCNBK-B
QCNBB000196,"3,148",QCNBK-B
QCNBB000197,"3,148",QCNBK-B
QCNBB000198,"3,148",QCNBK-B
QCNBB000199,"3,148",QCNBK-B
QCNBB000200,"3,148",QCNBK-B
QCNBB000201,"3,148",QCNBK-B
QCNBB000202,"3,148",QCNBK-B
QCNBB000204,"3,148",QCNBK-B
QCNBB000205,"3,148",QCNBK-B
QCNBB000206,"3,148",QCNBK-B
QCNBB000207,"3,148",QCNBK-B
QCNBB000208,"3,148",QCNBK-B
QCNBB000209,"3,148",QCNBK-B
QCNBB000210,"3,148",QCNBK-B
QCNBB000211,"3,148",QCNBK-B
QCNBB000212,"3,148",QCNBK-B
QCNBB000214,"3,148",QCNBK-B
QCNBB000215,"3,148",QCNBK-B
QCNBB000216,"3,148",QCNBK-B
QCNBB000217,"3,148",QCNBK-B
QCNBB000218,"3,148",QCNBK-B
QCNBB000219,"3,148",QCNBK-B
QCNBB000220,"3,148",QCNBK-B
QCNBB000221,"3,148",QCNBK-B
QCNBB000222,"3,148",QCNBK-B
QCNBB000223,"3,148",QCNBK-B
QCNBB000224,"3,148",QCNBK-B
QCNBB000225,"3,148",QCNBK-B
QCNBB000226,"3,148",QCNBK-B
QCNBB000227,"3,148",QCNBK-B
QCNBB000228,"3,148",QCNBK-B
QCNBB000229,"3,148",QCNBK-B
QCNBB000230,"3,148",QCNBK-B
QCNBB000231,"3,148",QCNBK-B
QCNBB000232,"3,148",QCNBK-B
QCNBB000233,"3,148",QCNBK-B
QCNBB000234,"3,148",QCNBK-B
QCNBB000235,"3,148",QCNBK-B
QCNBB000236,"3,148",QCNBK-B
QCNBB000237,"3,148",QCNBK-B
QCNBB000238,"3,148",QCNBK-B
QCNBB000239,"3,148",QCNBK-B
QCNBB000240,"3,148",QCNBK-B
QCNBB000241,"3,148",QCNBK-B
QCNBB000242,"3,148",QCNBK-B
QCNBB000243,"3,148",QCNBK-B
QCNBB000244,"3,148",QCNBK-B
QCNBB000245,"3,148",QCNBK-B
QCNBB000246,"3,148",QCNBK-B
QCNBB000247,"3,148",QCNBK-B
QCNBB000248,"3,148",QCNBK-B
QCNBB000249,"3,148",QCNBK-B
QCNBB000250,"3,148",QCNBK-B
QCNBB000251,"3,148",QCNBK-B
QCNBB000252,"3,148",QCNBK-B
QCNBB000253,"3,148",QCNBK-B
QCNBB000254,"3,148",QCNBK-B
QCNBB000255,"3,148",QCNBK-B
QCNBB000256,"3,148",QCNBK-B
QCNBB000257,"3,148",QCNBK-B
QCNBB000258,"3,148",QCNBK-B
QCNBB000259,"3,148",QCNBK-B
QCNBB000260,"3,148",QCNBK-B
QCNBB000261,"3,148",QCNBK-B
QCNBB000262,"3,148",QCNBK-B
QCNBB000263,"3,148",QCNBK-B
QCNBB000264,"3,148",QCNBK-B
QCNBB000266,"3,148",QCNBK-B
QCNBB000267,"3,148",QCNBK-B
QCNBB000268,"3,148",QCNBK-B
QCNBB000269,"3,148",QCNBK-B
QCNBB000270,"3,148",QCNBK-B
QCNBB000271,"3,148",QCNBK-B
QCNBB000272,"3,148",QCNBK-B
QCNBB000273,"3,148",QCNBK-B
QCNBB000274,"3,148",QCNBK-B
QCNBB000275,"3,148",QCNBK-B
QCNBB000276,"3,148",QCNBK-B
QCNBB000277,"3,148",QCNBK-B
QCNBB000278,"3,148",QCNBK-B
QCNBB000279,"3,148",QCNBK-B
QCNBB000280,"3,148",QCNBK-B
QCNBB000281,"3,148",QCNBK-B
QCNBB000282,"3,148",QCNBK-B
QCNBB000283,"3,148",QCNBK-B
QCNBB000285,"3,148",QCNBK-B
QCNBB000286,"3,148",QCNBK-B
QCNBB000287,"3,148",QCNBK-B
QCNBB000288,"3,148",QCNBK-B
QCNBB000289,"3,148",QCNBK-B
QCNBB000290,"3,148",QCNBK-B
QCNBB000291,"3,148",QCNBK-B
QCNBB000292,"3,148",QCNBK-B
QCNBB000293,"3,148",QCNBK-B
QCNBB000294,"3,148",QCNBK-B
QCNBB000295,"3,148",QCNBK-B
QCNBB000296,"3,148",QCNBK-B
QCNBB000297,"3,148",QCNBK-B
QCNBB000298,"3,148",QCNBK-B
QCNBB000299,"3,148",QCNBK-B
QCNBB000300,"3,148",QCNBK-B
