sku,image,small_image,thumbnail,gallery,,
SYGLAP-Corei7,+/Laptop.jpg,+/Laptop.jpg,+/Laptop.jpg,,,
SYGLAP-Pentium,+/Pentium-or-Celeron.jpg,+/Pentium-or-Celeron.jpg,+/Pentium-or-Celeron.jpg,,,
ONEPLUSCHARGER,+/oneplus-charger-with-cable.jpg,+/oneplus-charger-with-cable.jpg,+/oneplus-charger-with-cable.jpg,,,
MD829ZM/A,+/Apple-iPod-Touch-Loop-Red-MD829ZM-A.jpg,+/Apple-iPod-Touch-Loop-Red-MD829ZM-A.jpg,+/Apple-iPod-Touch-Loop-Red-MD829ZM-A.jpg,,,
QCMBB000229,+/phicomm-c630.jpg,+/phicomm-c630.jpg,+/phicomm-c630.jpg,/phicomm-c630-right.jpg;/phicomm-c630-left.jpg,,
QCMBB000094,+/one-plus-3.jpg,+/one-plus-3.jpg,+/one-plus-3.jpg,/one-plus-3-right.jpg;/one-plus-3-left.jpg,,
OPMBNTF0705,+/Clout-X417-Amaze-Black.jpg,+/Clout-X417-Amaze-Black.jpg,+/Clout-X417-Amaze-Black.jpg,/Clout-X417-Amaze-Black-right.jpg;/Clout-X417-Amaze-Black-left.jpg,,
OPMBNTFB0487,+/samsung-galaxy-a3-gold.jpg,+/samsung-galaxy-a3-gold.jpg,+/samsung-galaxy-a3-gold.jpg,/samsung-galaxy-a3-gold-right.jpg;/samsung-galaxy-a3-gold-left.jpg,,
OPMBNTFB0490,+/samsung-galaxy-a7-black.jpg,+/samsung-galaxy-a7-black.jpg,+/samsung-galaxy-a7-black.jpg,/samsung-galaxy-a7-black-right.jpg;/samsung-galaxy-a7-black-left.jpg,,
OPMBNTFB0509,+/samsung-galaxy-s3-i9300-blue.jpg,+/samsung-galaxy-s3-i9300-blue.jpg,+/samsung-galaxy-s3-i9300-blue.jpg,/samsung-galaxy-s3-i9300-blue-right.jpg;/samsung-galaxy-s3-i9300-blue-left.jpg,,
OPMBNTFB0570,+/Nokia-Lumia-1020-Black.jpg,+/Nokia-Lumia-1020-Black.jpg,+/Nokia-Lumia-1020-Black.jpg,/Nokia-Lumia-1020-Black-right.jpg;/Nokia-Lumia-1020-Black-left.jpg,,
OPMBNTFB0579,+/samsung-galaxy-tab_4-t231-white.jpg,+/samsung-galaxy-tab_4-t231-white.jpg,+/samsung-galaxy-tab_4-t231-white.jpg,/samsung-galaxy-tab_4-t231-white-right.jpg;/samsung-galaxy-tab_4-t231-white-left.jpg,,
OPMBNTFB0601,+/Mi-Max-2-Black.jpg,+/Mi-Max-2-Black.jpg,+/Mi-Max-2-Black.jpg,/Mi-Max-2-Black-right.jpg;/Mi-Max-2-Black-left.jpg,,
OPMBNTFB0645,+/samsung-galaxy-note_4-charcoal-black.jpg,+/samsung-galaxy-note_4-charcoal-black.jpg,+/samsung-galaxy-note_4-charcoal-black.jpg,/samsung-galaxy-note_4-charcoal-black-right.jpg;/samsung-galaxy-note_4-charcoal-black-left.jpg,,
OPMBNTFB0695,+/samsung-galaxy-note-3-neo.jpg,+/samsung-galaxy-note-3-neo.jpg,+/samsung-galaxy-note-3-neo.jpg,/samsung-galaxy-note-3-neo-right.jpg;/samsung-galaxy-note-3-neo-left.jpg,,
SYGNBQB0136,+/ibm-thinkpad.jpg,+/ibm-thinkpad.jpg,+/ibm-thinkpad.jpg,,,
OPMBNTFB0141,+/Mi-Redmi-3S-Prime-Gold.jpg,+/Mi-Redmi-3S-Prime-Gold.jpg,+/Mi-Redmi-3S-Prime-Gold.jpg,/Mi-Redmi-3S-Prime-Gold-right.jpg;/Mi-Redmi-3S-Prime-Gold-left.jpg,,
OPMBNTFB0667,+/Samsung-Tab-E--SM-T561-Metalic-Black.jpg,+/Samsung-Tab-E--SM-T561-Metalic-Black.jpg,+/Samsung-Tab-E--SM-T561-Metalic-Black.jpg,/Samsung-Tab-E--SM-T561-Metalic-Black-right.jpg;/Samsung-Tab-E--SM-T561-Metalic-Black-left.jpg,,
OPMBNTFB0676,+/Samsung-Galaxy-Note-3-Jet-Black.jpg,+/Samsung-Galaxy-Note-3-Jet-Black.jpg,+/Samsung-Galaxy-Note-3-Jet-Black.jpg,/Samsung-Galaxy-Note-3-Jet-Black-right.jpg;/Samsung-Galaxy-Note-3-Jet-Black-left.jpg,,
