sku,description,short_description,imp_desc
QCMBB000028,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTF0161,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTF0160,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTF0201,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTF0116,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTF0200,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTF0114,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTFB0711,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTFB0160,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTFB0201,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTFB0161,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
OPMBNTF0711,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
NEWMOB00458,"<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
","<ul><li>Display -4 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - Li-Ion  </li>
<li>Apple A9 64-bit processor and Embedded M9 Motion Co-processor</li></ul>
"
