sku,qty,is_in_stock
REFMOB0001,101,1
REFMOB0002,52,1
REFMOB0003,2,1
REFMOB0004,3,1
REFMOB0005,47,1
REFMOB0006,9,1
REFMOB0007,24,1
REFMOB0009,5,1
REFMOB0010,1,1
REFMOB0011,150,1
REFMOB0012,130,1
REFMOB0013,17,1
