sku,weight
OPNBNTF0093,2.5
OPNBNTF0044,2.5
OPNBNTF0025,2.5
OPNBNTF0027,2.5
OPNBNTF0140,2.5
OPNBNTF0047,2.5
OPNBNTF0055,2.5
OPNBNTF0060,2.5
OPNBNTF0097,2.5
OPNBNTF0130,2.5
OPNBNTF0040,2.5
OPNBNTF0059,2.5
OPNBNTF0101,2.5
OPNBNTF0114,2.5
OPNBNTF0128,2.5
OPNBNTF0103,2.5
OPNBNTF0135,2.5
OPNBNTF0028,2.5
OPNBNTF0037,2.5
OPNBNTF0058,2.5
OPNBNTF0068,2.5
OPNBNTF0086,2.5
OPNBNTF0126,2.5
OPNBNTF0131,2.5
OPNBNTF0143,2.5
OPNBNTF0157,2.5
OPNBNTF0031,2.5
OPNBNTF0036,2.5
OPNBNTF0087,2.5
OPNBNTF0136,2.5
OPNBNTF0147,2.5
OPNBNTF0163,2.5
OPNBNTF0164,2.5
NEWNBK00040,2.5
OPNBNTF0170,2.5
OPNBNTF0173,2.5
REFDE00058,2.5
REFDE00270,2.5
REFDE00271,2.5
NEWNBK00143,2.5
NEWNBK00159,2.5
REFDE00303,2.5
SYGNBQB0165,2.5
REFDE00328,2.5
OPNBNTF0201,2.5
QCNBA000095,2.5
QCNBA000133,2.5
QCNBA000143,2.5
QCNBA000189,2.5
OPNBNTF0224,2.5
SYGNBQB0540,2.5
QCNBA000228,2.5
QCNBA000245,2.5
QCNBA000282,2.5
QCNBA000290,2.5
QCNBA000291,2.5
QCNBA000298,2.5
QCNBA000302,2.5
QCNBA000303,2.5
QCNBA000306,2.5
QCNBA000309,2.5
QCNBA000311,2.5
OPNBNTF0249,2.5
REFLLTE5420CI5G1,2.5
QCNBA000414,2.5
QCNBA000415,2.5
QCNBA000416,2.5
QCNBA000418,2.5
QCNBA000420,2.5
QCNBA000421,2.5
QCNBA000424,2.5
QCNBA000425,2.5
QCNBA000426,2.5
QCNBA000427,2.5
QCNBA000430,2.5
QCNBA000431,2.5
QCNBA000433,2.5
QCNBA000434,2.5
QCNBA000436,2.5
QCNBA000438,2.5
QCNBA000439,2.5
QCNBA000440,2.5
QCNBA000441,2.5
QCNBA000442,2.5
QCNBA000445,2.5
QCNBA000446,2.5
QCNBA000447,2.5
QCNBA000448,2.5
QCNBA000449,2.5
QCNBA000450,2.5
QCNBA000451,2.5
QCNBA000453,2.5
QCNBA000454,2.5
QCNBA000455,2.5
QCNBA000458,2.5
QCNBA000459,2.5
QCNBA000460,2.5
QCNBA000461,2.5
QCNBA000462,2.5
QCNBA000463,2.5
QCNBA000474,2.5
QCNBA000476,2.5
QCNBA000477,2.5
QCNBA000478,2.5
QCNBA000479,2.5
QCNBA000484,2.5
QCNBA000485,2.5
QCNBA000487,2.5
QCNBA000489,2.5
QCNBA000492,2.5
QCNBA000344,2.5
QCNBA000348,2.5
QCNBA000356,2.5
QCNBA000360,2.5
QCNBA000368,2.5
QCNBA000370,2.5
QCNBA000373,2.5
