sku,qty,is_in_stock
opmbntfb0019,142,1
opmbntf0026,1,1
opmbntf0019,56,1
opmbntfb0020,63,1
opmbntf0020,136,1
opmbntf0028,5,1
opmbntfb0028,3,1
opmbntf0604,2,1
opmbntfb0018,1,1
opmbntf0019,35,1
opmbntfb0019,17,1
opmbntfb0020,10,1
opmbntfb0019,12,1
opmbntfb0018,1,1
opmbntfb0020,1,1
opmbntfb0019,12,1
opmbntfb0035,10,1
opmbntfb0018,53,1
opmbntfb0038,2,1
opmbntfb0023,2,1
opmbntf0023,5,1
opmbntfb0018,13,1
opmbntfb0035,5,1
opmbntfb0037,1,1
opmbntf0023,1,1
opmbntfb0023,4,1
opmbntf0023,5,1
opmbntfb0038,1,1
opmbntfb0026,1,1
opmbntfb0021,14,1
opmbntf0021,5,1
opmbntfb0017,1,1
opmbntfb0035,7,1
opmbntf0035,1,1
opmbntfb0018,5,1
opmbntfb0019,48,1
opmbntf0019,109,1
opmbntfb0019,79,1
opmbntf0019,45,1
opmbntf0020,23,1
opmbntfb0020,68,1
opmbntf0037,3,1
opmbntf0017,1,1
opmbntfb0028,85,1
opmbntf0028,31,1
opmbntfb0028,38,1
opmbntf0037,12,1
opmbntfb0037,94,1
opmbntf0038,89,1
opmbntfb0038,73,1
opmbntf0029,52,1
opmbntfb0029,80,1
opmbntf0604,1,1
opmbntf0018,62,1
opmbntf0018,143,1
opmbntf0023,4,1
opmbntf0028,60,1
opmbntf0019,98,1
opmbntf0020,131,1
opmbntf0020,27,1
opmbntf0035,11,1
opmbntf0035,1,1
opmbntf0028,61,1
opmbntf0018,131,1
MOTO G5 PLUS 32GB LUNAR GREY,84,1
MOTO G5 PLUS 32GB LUNAR GREY,7,1
MOTO G5 PLUS 16GB FINE GOLD,4,1
opmbntf0557,21,1
opmbntf0019,150,1
opmbntf0018,46,1
opmbntfb0021,90,1
opmbntfb0017,121,1
opmbntfb0018,39,1
opmbntfb0017,57,1
opmbntfb0019,23,1
opmbntfb0017,89,1
opmbntfb0017,144,1
opmbntfb0035,5,1
opmbntfb0035,7,1
opmbntfb0557,3,1
opmbntfb0023,47,1
opmbntfb0023,127,1
opmbntfb0023,50,1
opmbntfb0021,135,1
opmbntfb0028,36,1
opmbntfb0026,59,1
opmbntfb0017,17,1
opmbntfb0023,83,1
opmbntfb0017,150,1
opmbntfb0023,48,1
opmbntfb0017,72,1
opmbntfb0017,58,1
opmbntfb0023,96,1
