sku,qty,status,is_in_stock
REFDE00058,7,Enabled,1
REFDE00012,3,Enabled,1
REFDE00019,3,Enabled,1
REFDE00034,1,Enabled,1
REFDE00109,2,Enabled,1
REFDE00111,3,Enabled,1
REFDE00028,2,Enabled,1
REFDE00039,2,Enabled,1
REFDE00042,2,Enabled,1
REFDE00043,2,Enabled,1
REFDE00075,2,Enabled,1
REFDE00091,2,Enabled,1
REFDE00098,1,Enabled,1
REFDE00103,2,Enabled,1
REFDE00228,2,Enabled,1
REFDE00202,2,Enabled,1
REFDE00206,1,Enabled,1
REFDE00214,1,Enabled,1
REFDE00303,1,Enabled,1
REFDE00052,1,Enabled,1
REFDE00054,1,Enabled,1
REFDE00069,1,Enabled,1
REFDE00070,1,Enabled,1
REFDE00080,1,Enabled,1
REFDE00083,1,Enabled,1
REFDE00084,1,Enabled,1
REFDE00100,1,Enabled,1
REFDE00104,1,Enabled,1
REFDE00108,1,Enabled,1
REFDE00309,1,Enabled,1
REFDE00312,1,Enabled,1
REFDE00145,1,Enabled,1
REFDE00267,1,Enabled,1
REFDE00236,1,Enabled,1
REFDE00159,1,Enabled,1
REFDE00238,1,Enabled,1
REFDE00193,1,Enabled,1
REFDE00194,1,Enabled,1
REFDE00196,1,Enabled,1
REFDE00200,1,Enabled,1
REFDE00113,1,Enabled,1
REFDE00081,1,Enabled,1
