ID,SKU,"PRODUCT NAME",CATEGORY,QTY,PRICE
16810,OPMBNTF0152,"LETV LE 1S (X507) 3GB  (32GB SILVER)","Open Box Mobiles",5.0000,8200
19366,OPMBNTF0440,"LETV LE 2 (X526) 3GB ,32GB (GOLD)","Open Box Mobiles",1.0000,7499
1821,NEWMOB00187,"LG G3 4G LTE (Black Gold, with 32 GB)","Brand New Mobiles",4.0000,9000
19367,OPMBNTF0442,"LYF WATER 7 (2GB, 16GB SILVER)	","Open Box Mobiles",1.0000,6000
17705,SYGLAPAPPLE-GEN3,"MacBook (2011 or Earlier)	","Sell Your Gadget",1.0000,12500
17691,SYGLAPAPPLE-GEN2,"MacBook (2012 to 2014)	","Sell Your Gadget",1.0000,18000
17689,SYGLAPAPPLE-GEN1,"MacBook (2015 or Later)","Sell Your Gadget",1.0000,21000
10448,SYG/CPD/MAXOO,Max,"Sell Your Gadget",10.0000,3747
10455,SYG/CPD/MAXA-8,"Max A-8","Sell Your Gadget",10.0000,4199
10453,SYG/CPD/MEG25D,"mega 2.5D","Sell Your Gadget",10.0000,2100
10449,SYG/CPD/MEGA03,"Mega 3","Sell Your Gadget",10.0000,2100
12851,NEWMOB00298,"Mi 3 ( Metallic Grey 16 GB)","Brand New Mobiles",28.0000,6000
10536,SYG/XMI/XIMI04,"Mi 4","Sell Your Gadget",10.0000,3600
6579,OPMBNTF0132,"MI 4  (White, 16 GB)","Open Box Mobiles",5.0000,3900
10540,SYG/XMI/XIMI41,"Mi 4i","Sell Your Gadget",10.0000,3600
16620,NEWMOB00301,"Mi 4i  (White, 16 GB)","Brand New Mobiles",6.0000,7000
10539,SYG/XMI/XIMI05,"Mi 5","Sell Your Gadget",10.0000,6300
10537,"SYG/XMI/MI MAX","Mi Max","Sell Your Gadget",10.0000,4500
9738,opmbntf0267,"Mi Max (Dark Grey, 32 GB) ","Open Box Mobiles",1.0000,9000
8628,OPMBNTF0084,"Mi Max (Gold, 32 GB) ","Open Box Mobiles",2.0000,9000
19546,OPMBNTFB0084,"Mi Max (Gold, 32 GB)(B Grade)","Open Box Mobile Grade B ",4.0000,8100
19684,OPMBNTFB0039,"Mi Max (Gold,128GB)(B Grade)","Open Box Mobile Grade B ",2.0000,8500
20823,OPMBNTFB0537,"Mi Max (Silver, 32 GB) (B Grade)","Open Box Mobile Grade B ",1.0000,8100
19695,OPMBNTFB0133,"Mi Max (Silver, 32 GB)(B Grade)","Open Box Mobile Grade B ",1.0000,8600
10538,SYG/XMI/MIMXPR,"Mi Max Prime","Sell Your Gadget",10.0000,5550
12795,NEWMOB00319,"Mi Redmi Note 4G ( White 8 GB)","Brand New Mobiles",32.0000,6000
16801,OPMBNTF0139,"Micromax Bolt Q381 1GB  (8GB Black)","Open Box Mobiles",7.0000,3000
20158,OPMBNTFB0566,"Micromax Canvas 5 E481 ( 16GB SLATE GREY) (B Grade)","Open Box Mobile Grade B ",2.0000,8000
20131,OPMBNTFB0063,"Micromax Canvas 6 Pro (16GB Black) (B Grade)","Open Box Mobile Grade B ",9.0000,5200
20183,OPMBNTFB0446,"Micromax Canvas A290 1GB (8GB Black and Gold) B grade","Open Box Mobile Grade B ",1.0000,5700
20485,OPMBNTF0447,"Micromax Canvas Doodle 4 (White, 8 GB) (1 GB RAM)","Open Box Mobiles",1.0000,6500
20098,OPMBNTFB0301,"Micromax Canvas Juice 2 AQ5001 (Silver, 8 GB) (B Grade)","Open Box Mobile Grade B ",1.0000,4100
10286,OPMBNTF0168,"Micromax Canvas Juice 4G Q461 (Grey, 8GB)","Open Box Mobiles",22.0000,3900
20119,OPMBNTFB0168,"Micromax Canvas Juice 4G Q461 (Grey, 8GB) (B Grade)","Open Box Mobile Grade B ",2.0000,4600
20133,OPMBNTFB0146,"Micromax Canvas Knight E471 2GB  (16GB Black) (B Grade)","Open Box Mobile Grade B ",1.0000,3700
18717,OPMBNTF0302,"Micromax Canvas Knight E471 2GB  (16GB WHITE/SILVER)	","Open Box Mobiles",3.0000,5600
9604,OPMBNTF0086,"Micromax Canvas Mega 4G  (Blue 16GB)","Open Box Mobiles",11.0000,5000
20114,OPMBNTFB0086,"Micromax Canvas Mega 4G  (Blue 16GB) (B Grade)","Open Box Mobile Grade B ",5.0000,4500
20486,OPMBNTF0449,"Micromax Canvas Pep (Blue)","Open Box Mobiles",1.0000,2550
16380,NEWMOB00206,"Micromax Canvas Pulse 4G ( Grey 16GB)","Brand New Mobiles",11.0000,5000
20449,OPMBNTF0303,"Micromax Canvas Tab P290 1GB (8GB, Black)","Open Box Tablets",2.0000,4952
6979,OPMBNTF0304,"MICROMAX CANVAS XPRESS 2  (Black 8GB)","Open Box Mobiles",11.0000,4340
16409,OPMBNTF0031,"Micromax CG666 (White-Grey)","Open Box Mobiles",27.0000,700
19936,OPMBNTFB0031,"Micromax CG666 (White-Grey) (B Grade)","Open Box Mobile Grade B ",14.0000,500
20491,OPMBNTF0458,"Microsoft Lumia 540 (Orange , 8 GB)","Open Box Mobiles",1.0000,4900
20492,OPMBNTF0459,"Microsoft Lumia 550 1GB(8GB, Black)","Open Box Mobiles",1.0000,4500
20493,OPMBNTF0460,"Microsoft Lumia 640 Dual Sim 1GB(8GB,Black)","Open Box Mobiles",1.0000,6000
20494,OPMBNTF0461,"Microsoft Lumia 650 1GB (16GB, Black)	","Open Box Mobiles",1.0000,9400
16602,OPMBNTF0599,"Moto C Plus ( STARRY BLACK, 16 GB) ","Open Box Mobiles",52.0000,5250
19531,OPMBNTFB0646,"Moto C Plus (Pearl White, 16 GB)(B Grade)","Open Box Mobile Grade B ",14.0000,4725
8238,OPMBNTF0120,"MOTO E ( 2nd GEN ) XT1506 (Black, 8GB)","Open Box Mobiles",2.0000,2639
20110,OPMBNTFB0120,"MOTO E ( 2nd GEN ) XT1506 (Black, 8GB) (B Grade)","Open Box Mobile Grade B ",1.0000,2400
8519,OPMBNTF0082,"MOTO E (2nd GEN) XT1506 (White, 8GB)","Open Box Mobiles",2.0000,3472
19518,OPMBNTFB0555,"Moto E3 Power (Black,16GB) (B Grade)","Open Box Mobile Grade B ",1.0000,4600
15667,NEWMOB00028,"MOTO E4 (Gold 16GB)","Brand New Mobiles",5.0000,7250
19532,OPMBNTFB0647,"Moto E4 Plus (Fine Gold, 32GB) (B Grade)","Open Box Mobile Grade B ",67.0000,6900
16604,OPMBNTF0648,"Moto E4 Plus (IRON GRAY, 32 GB)","Open Box Mobiles",3.0000,7900
19533,OPMBNTFB0648,"Moto E4 Plus (IRON GRAY, 32 GB)(B Grade)","Open Box Mobile Grade B ",62.0000,6900
10470,SYG/MOT/1GN8GB,"Moto G (1st Generation) (8GB)","Sell Your Gadget",10.0000,1668
10471,SYG/MOT/2G16GB,"Moto G (2nd Generation) (16GB)","Sell Your Gadget",10.0000,2400
12797,NEWMOB00038,"Moto G (2nd Generation) XT1068 (16 GB White)","Brand New Mobiles",7.0000,3900
10463,SYG/MOT/G316GB,"Moto G (3rd Gen) (16GB)","Sell Your Gadget",10.0000,2996
12515,ASMBA000011,"Moto G (3rd Gen) 16 GB ASIS (NO RETURNS) ","Pre-Owned ASIS Mobiles",198.0000,3600
20826,OPMBNTFB0592,"Moto G (3rd Generation) XT1550  (White, 8 GB)(B Grade)","Open Box Mobile Grade B ",1.0000,4500
20078,OPMBNTFB0154,"MOTO G (3RD GENERATION) XT1550 (Black 16GB) (B Grade)","Open Box Mobile Grade B ",8.0000,6600
10472,SYG/MOT/4G16GB,"Moto G (4th Generation) (16GB)","Sell Your Gadget",10.0000,3150
10473,SYG/MOT/4G32GB,"Moto G (4th Generation) (32GB)","Sell Your Gadget",10.0000,4200
8406,NEWMOB00023,"Moto G 4th Gen (Black, 16GB)","Brand New Mobiles",3.0000,8000
19683,OPMBNTFB0037,"Moto G 4th Gen (Black, 16GB)(B Grade)","Open Box Mobile Grade B ",72.0000,4800
16403,OPMBNTF0028,"Moto G 4th Gen (Black, 32GB) ","Open Box Mobiles",183.0000,6500
19681,OPMBNTFB0028,"Moto G 4th Gen (Black, 32GB)(B Grade)","Open Box Mobile Grade B ",150.0000,5500
16404,OPMBNTF0038,"Moto G 4th Gen (White, 16GB)","Open Box Mobiles",142.0000,5800
16405,OPMBNTF0029,"Moto G 4th Gen (White, 32GB)","Open Box Mobiles",80.0000,6500
19751,OPMBNTFB0029,"Moto G 4th Gen (White, 32GB) (B Grade)","Open Box Mobile Grade B ",88.0000,5500
19544,OPMBNTFB0038,"Moto G 4th Gen (White,16GB) (B Grade)","Open Box Mobile Grade B ",134.0000,4800
16397,OPMBNTF0021,"Moto G Plus, 4th Gen (Black, 16 GB) ","Open Box Mobiles",18.0000,7000
19479,OPMBNTFB0021,"Moto G Plus, 4th Gen (Black, 16GB) (B Grade)","Open Box Mobile Grade B ",166.0000,5000
16396,OPMBNTF0017,"Moto G Plus, 4th Gen (Black, 32 GB)","Open Box Mobiles",2.0000,8500
19542,OPMBNTFB0017,"Moto G Plus, 4th Gen (Black, 32GB) (B Grade)","Open Box Mobile Grade B ",1001.0000,5750
16398,OPMBNTF0023,"Moto G Plus, 4th Gen (White, 32 GB) ","Open Box Mobiles",6.0000,7500
19481,OPMBNTFB0023,"Moto G Plus, 4th Gen (White, 32GB) (B Grade)","Open Box Mobile Grade B ",716.0000,5750
19543,OPMBNTFB0026,"Moto G Plus, 4th Gen (White,16GB) (B Grade)","Open Box Mobile Grade B ",85.0000,5250
13027,ASMBA000012,"Moto G Turbo 16GB ASIS (NO RETURNS) ","Pre-Owned ASIS Mobiles",59.0000,4200
10462,SYG/MOT/GTUBED,"Moto G Turbo Edition","Sell Your Gadget",10.0000,3600
8377,OPMBNTF0605,"Moto G Turbo Edition (Black, 16 GB)","Open Box Mobiles",26.0000,5600
20033,OPMBNTFB0605,"Moto G Turbo Edition (Black, 16 GB) (B Grade)","Open Box Mobile Grade B ",3.0000,5100
7278,OPMBNTF0093,"Moto G Turbo Edition (White, 16 GB)","Open Box Mobiles",31.0000,5600
19496,OPMBNTFB0093,"Moto G Turbo Edition (White, 16 GB)(B Grade)","Open Box Mobile Grade B ",73.0000,4900
8721,NEWMOB00017,"Moto G4 Play  (White, 16GB) ","Brand New Mobiles",3.0000,8000
10700,OPMBNTF0465,"Moto G4 Play (Black, 16GB)","Open Box Mobiles",24.0000,5300
8720,NEWMOB00018,"Moto G4 Play (Black, 16GB)","Brand New Mobiles",7.0000,8000
19710,OPMBNTFB0465,"Moto G4 Play (Black, 16GB)(B Grade)","Open Box Mobile Grade B ",10.0000,4500
19547,OPMBNTFB0106,"Moto G4 Play (White, 16GB)(B Grade)","Open Box Mobile Grade B ",5.0000,4800
16113,OPMBNTF0020,"Moto G5 (16 GB, Fine Gold )","Open Box Mobiles",101.0000,5750
19478,OPMBNTFB0020,"Moto G5 (16 GB, Fine Gold )(B Grade)","Open Box Mobile Grade B ",94.0000,5250
13429,NEWMOB00025,"Moto G5 (16 GB, Fine Gold)","Brand New Mobiles",12.0000,8000
16112,OPMBNTF0019,"Moto G5 (16 GB, Lunar Grey)","Open Box Mobiles",356.0000,6250
19477,OPMBNTFB0019,"Moto G5 (16 GB, Lunar Grey)(B Grade)","Open Box Mobile Grade B ",341.0000,5250
13277,OPMBNTF0557,"Moto G5 Plus (Fine Gold, 16 GB) ","Open Box Mobiles",16.0000,6500
20028,OPMBNTFB0557,"Moto G5 Plus (Fine Gold, 16 GB)  (B Grade)","Open Box Mobile Grade B ",9.0000,6300
15665,NEWMOB00026,"Moto G5 Plus (Fine Gold, 32 GB) ","Brand New Mobiles",1.0000,10200
19485,OPMBNTFB0035,"Moto G5 Plus (Fine Gold, 32 GB)(B Grade)","Open Box Mobile Grade B ",82.0000,6800
20128,OPMBNTFB0604,"Moto G5 Plus (Lunar Grey, 16 GB) (B Grade)","Open Box Mobile Grade B ",1.0000,6300
16394,OPMBNTF0018,"Moto G5 Plus (Lunar Grey, 32 GB)","Open Box Mobiles",294.0000,8400
19476,OPMBNTFB0018,"Moto G5 Plus (Lunar Grey, 32 GB) (B Grade)","Open Box Mobile Grade B ",286.0000,6800
15664,NEWMOB00048,"Moto G5s (Fine Gold, 32GB)","Brand New Mobiles",47.0000,10800
10479,"SYG/MOT/M 32GB","Moto M (32GB)","Sell Your Gadget",10.0000,6400
10480,"SYG/MOT/M 64GB","Moto M (64GB)","Sell Your Gadget",10.0000,7200
20130,OPMBNTFB0598,"Moto M (Gold, 32 GB) (B Grade)","Open Box Mobile Grade B ",6.0000,7200
15663,NEWMOB00036,"Moto M (Gold, 64 GB)","Brand New Mobiles",9.0000,10499
13327,OPMBNTF0603,"Moto M (Gold, 64 GB)","Open Box Mobiles",25.0000,8900
19525,OPMBNTFB0603,"Moto M (Gold, 64 GB)(B Grade)","Open Box Mobile Grade B ",25.0000,8300
16795,OPMBNTF0099,"Moto M (Grey, 32 GB)","Open Box Mobiles",32.0000,7900
19692,OPMBNTFB0099,"Moto M (Grey, 32 GB)(B Grade)","Open Box Mobile Grade B ",6.0000,7200
18371,OPMBNTF0587,"Moto M (Grey, 64 GB)","Open Box Mobiles",4.0000,11152
15659,NEWMOB00044,"Moto M (Grey, 64 GB)","Brand New Mobiles",14.0000,10499
13323,OPMBNTF0632,"Moto M (Grey, 64 GB)","Open Box Mobiles",1.0000,11152
20129,OPMBNTFB0632,"Moto M (Grey, 64 GB) (B Grade)","Open Box Mobile Grade B ",1.0000,10100
19715,OPMBNTFB0587,"Moto M (Grey, 64 GB)(B Grade)","Open Box Mobile Grade B ",9.0000,10037
19524,OPMBNTFB0602,"Moto M (Silver, 64 GB)(B Grade)","Open Box Mobile Grade B ",4.0000,7650
10469,SYG/MOT/TU64GB,"Moto Turbo (64GB)","Sell Your Gadget",10.0000,12800
19718,OPMBNTFB0675,"MOTO X (2ND GEN) XT1092 32GB COGNAC LEATHER(B Grade)","Open Box Mobile Grade B ",2.0000,6300
10467,SYG/MOT/XF32GB,"Moto X Force (32GB)","Sell Your Gadget",10.0000,11600
10468,SYG/MOT/XF64GB,"Moto X Force (64GB)","Sell Your Gadget",10.0000,13200
16633,NEWMOB00014,"Moto X Play  (White, 16 GB)","Brand New Mobiles",1.0000,9000
20077,OPMBNTFB0192,"Moto X Play  (White, 16 GB) (B Grade)","Open Box Mobile Grade B ",1.0000,5700
10475,SYG/MOT/XP32GB,"Moto X Play (32GB)","Sell Your Gadget",10.0000,7200
20080,OPMBNTFB0218,"Moto X Play (Black, 16 GB) (B Grade)","Open Box Mobile Grade B ",3.0000,5700
20099,OPMBNTFB0468,"Moto X Play (Black, 32 GB) (B Grade)","Open Box Mobile Grade B ",4.0000,7300
