"PRODUCT NAME",CATEGORY,QTY,PRICE
"DELL REFURBISHED INSPIRON 15 5558/ 5th Gen Ci5-5200U/ 8GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",7,29400
"DELL REFURBISHED INSPIRON 15 5558/ 5th Gen Ci5-5200U/ 8GB/ 1TB/ 2GB/ WIN 8.1/ 15.6-Inch","Brand Refurbished Laptops",4,29400
"DELL REFURBISHED INSPIRON 15 5558/ 5th Gen Ci5-5200U/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",5,36800
"DELL REFURBISHED INSPIRON 15 5558/ 5th Gen Ci7-5500U/ 16GB/ 2TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",4,47100
"DELL REFURBISHED INSPIRON 15 5558/ 5th Gen Ci7-5500U/ 8GB/ 1TB/ 4GB/ WIN 8.1/ 15.6-Inch","Brand Refurbished Laptops",1,44100
"DELL REFURBISHED INSPIRON 15 5559/ 6th Gen Ci5-6200U/ 8GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",24,38300
"DELL REFURBISHED INSPIRON 15 5559/ 6th Gen Ci5-6200U/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",11,42000
"DELL REFURBISHED INSPIRON 15 5559/ 6th Gen Ci7-6500U/ 16GB/ 2TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",6,49000
"DELL REFURBISHED INSPIRON 15 5565 ( AMD A9-9400/ 4GB/ 1TB/ 2GB/ WIN 10/ 15.6-inch)","Brand Refurbished Laptops",1,29400
"DELL REFURBISHED INSPIRON 15 5567/ 7th Gen Ci5-7200U/ 8GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",5,42500
"DELL REFURBISHED INSPIRON 15 5567/ 7th Gen Ci5-7200U/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",1,45900
"DELL REFURBISHED INSPIRON 15 5567/ 7TH GEN CI5-7200U/ 8GB/ 2TB/ 2GB/ WIN 10/ 15.6-INCH FHD","Brand Refurbished Laptops",1,53900
"DELL REFURBISHED INSPIRON 15 5567/ 7th Gen Ci5-7200U/ 8GB/ 2TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",3,47100
"DELL REFURBISHED INSPIRON 15 5567/ 7th Gen Ci7-7500U/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",2,54400
"DELL REFURBISHED INSPIRON 15 5568/ 6th Gen Ci5-6200U/ 8GB/ 1TB/ INT/ WIN 10/ 15.6-Inch FHD Touch","Brand Refurbished Laptops",2,47600
"DELL REFURBISHED INSPIRON 15 5570 (8th Gen Ci5-8250U/ 8GB/ 1TB/ 2GB/ WIN 10/ 15.6-INCH FHD)","Brand Refurbished Laptops",4,52400
"DELL REFURBISHED INSPIRON 15 5578/ 7th Gen Ci3-7100U/ 4GB/ 1TB/ INT/ WIN 10/ 15.6-Inch FHD Touch","Brand Refurbished Laptops",5,37200
"DELL REFURBISHED INSPIRON 15 5578/ 7th Gen Ci5-7200U/ 8GB/ 1TB/ INT/ WIN 10/ 15.6-Inch FHD Touch","Brand Refurbished Laptops",4,48600
"DELL REFURBISHED INSPIRON 15 7537/ 4th Gen Ci7-4500U/ 8GB/ 1TB/ 2GB/ WIN 8.1/ 15.6-Inch FHD Touch","Brand Refurbished Laptops",1,58800
"DELL REFURBISHED INSPIRON 15 7548 (5th Gen Ci5-5200U/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-INCH  Touch)","Brand Refurbished Laptops",2,47300
"DELL REFURBISHED INSPIRON 15 7548/ 5th Gen Ci7-5500U/ 16GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD Touch","Brand Refurbished Laptops",2,58800
"DELL REFURBISHED INSPIRON 15 7548/ 5th Gen Ci7-5500U/ 16GB/ 256GB SSD/ 4GB/ WIN 10/ 15.6-Inch 4K UHD Touch","Brand Refurbished Laptops",1,61800
"DELL REFURBISHED INSPIRON 15 7559/ 6th Gen Ci5-6300HQ/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",3,57900
"DELL REFURBISHED INSPIRON 15 7559/ 6TH GEN CI7-6700HQ/ 16GB/ 128GB SSD+1TB/ 4GB/ WIN 10/ 15.6-INCH UHD TOUCH","Brand Refurbished Laptops",1,61800
"DELL REFURBISHED INSPIRON 15 7559/ 6th Gen Ci7-6700HQ/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",5,60800
"DELL REFURBISHED INSPIRON 15 7560/ 7th Gen Ci5-7200U/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",6,50900
"DELL REFURBISHED INSPIRON 15 7560/ 7th Gen Ci7-7500U/ 8GB/ 128GB SSD+1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",10,61900
"DELL REFURBISHED INSPIRON 15 7567/ 7th Gen Ci7-7700HQ/ 8GB/ 128GB SDD+1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",2,76200
"DELL REFURBISHED INSPIRON 15 7567/ 7th Gen Ci7-7700HQ/ 8GB/ 1TB/ 4GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",2,64500
"DELL REFURBISHED INSPIRON 15 7568/ 6th Gen Ci7-6500U/ 8GB/ 1TB/ INT/ WIN 10/ 15.6-INCH FHD Touch","Brand Refurbished Laptops",1,61500
"DELL REFURBISHED INSPIRON 15R 5537/ 4th Gen Ci5-4200U/ 6GB/ 500GB/ INT/ WIN 10/ 15.6-Inch Touch","Brand Refurbished Laptops",1,32900
"DELL REFURBISHED INSPIRON 15R 5537/ 4th Gen Ci7-4500U/ 8GB/ 1TB/ 2GB/ WIN 8.1/ 15.6-Inch Touch","Brand Refurbished Laptops",1,48100
"DELL REFURBISHED INSPIRON DT 3043/ Celeron N2830/ 4GB/ 500GB/ INT/ WIN 10/ 19.5-Inch","Brand Refurbished Laptops",1,16900
"DELL REFURBISHED INSPIRON DT 3048/ PDC G3220T/ 2GB/ 500GB/ INT/ NO OS/ 20-Inch","Brand Refurbished Laptops",7,20500
"DELL REFURBISHED INSPIRON DT 3052/ PQC J3710/ 4GB/ 1TB/ INT/ NO OS/ 19.5-Inch","Brand Refurbished Laptops",2,21100
"DELL REFURBISHED INSPIRON DT 3059/ 6th Gen Ci3-6100U/ 4GB/ 1TB/ INT/ NO OS/ 19.5-Inch","Brand Refurbished Laptops",1,25400
"DELL REFURBISHED INSPIRON DT 3059/ 6th Gen Ci3-6100U/ 4GB/ 500GB/ INT/ WIN 10/ 19.5-Inch","Brand Refurbished Laptops",1,24500
"DELL REFURBISHED INSPIRON DT 3064 (7th Gen Ci3-7100U/ 4GB/ 1TB/ INT/ WIN 10/ 19.5-inch)","Brand Refurbished Laptops",1,29400
"DELL REFURBISHED INSPIRON DT 3064 (7th Gen Ci3-7100U/ 4GB/ 1TB/ INT/ WIN 10/ 19.5-inch)","Brand Refurbished Laptops",1,29400
"DELL REFURBISHED INSPIRON DT 3250( 6th Gen Ci5-6400/ 4GB/ 1TB/ 2GB/ WIN 10/ Display Not Included)","Brand Refurbished Laptops",1,31700
"DELL REFURBISHED INSPIRON DT 3250/ 6th Gen Ci5-6400/ 4GB/ 1TB/ 2GB/ NO OS/ Display Not Included","Brand Refurbished Laptops",1,30000
"DELL REFURBISHED INSPIRON DT 3250/ 6th Gen Ci5-6400/ 8GB/ 1TB/ 2GB/ WIN 10/ Display Not Included","Brand Refurbished Laptops",1,32000
"DELL REFURBISHED INSPIRON DT 3252/ PQC J3710/ 4GB/ 1TB/ INT/ NO OS/ DISPLAY NOT INCLUDED","Brand Refurbished Laptops",1,14700
"DELL REFURBISHED INSPIRON DT 3268/ 7TH GEN CI3-7100U/ 4GB/ 1TB/ INT/ NO OS/ DISPLAY NOT INCLUDED","Brand Refurbished Laptops",2,23600
"DELL REFURBISHED INSPIRON DT 3268/ PDC G4560/ 4GB/ 1TB/ INT/ NO OS/ DISPLAY NOT INCLUDED","Brand Refurbished Laptops",1,16700
"DELL REFURBISHED INSPIRON DT 3459/ 6th Gen Ci3-6100U/ 4GB/ 1TB/ INT/ WIN 10/ 23.8-Inch FHD","Brand Refurbished Laptops",4,30400
"DELL REFURBISHED INSPIRON DT 3459/ 6th Gen Ci5-6200U/ 4GB/ 1TB/ INT/ WIN 10/ 23.8-Inch FHD","Brand Refurbished Laptops",3,35300
"DELL REFURBISHED INSPIRON DT 3464/ 7th Gen Ci5-7200U/ 4GB/ 1TB/ INT/ WIN 10/ 23.8-Inch FHD","Brand Refurbished Laptops",4,37500
"DELL REFURBISHED INSPIRON DT 3647/ 4th Gen Ci3-4170/ 4GB/ 500GB/ 2GB/ WIN 10/ Display Not Included","Brand Refurbished Laptops",1,28100
"DELL REFURBISHED INSPIRON DT 3647/ 4th Gen Ci5-4460S/ 8GB/ 1TB/ INT/ NO OS/ Display Not Included","Brand Refurbished Laptops",1,31400
"DELL REFURBISHED INSPIRON DT 3647/ PDC G3260/ 4GB/ 500GB/ INT/ WIN 10/ Display Not Included","Brand Refurbished Laptops",1,16200
"DELL REFURBISHED INSPIRON DT 5348( 4th Gen Ci7-4790S/ 8GB/ 2TB/ 2GB/ WIN 10/ 23.8-INCH FHD Touch)","Brand Refurbished Laptops",1,77700
"DELL REFURBISHED INSPIRON DT 5459/ 6th Gen Ci5-6400/ 8GB/ 1TB/ 4GB/ WIN 10/ 23.8-Inch FHD","Brand Refurbished Laptops",1,56400
"DELL REFURBISHED INSPIRON DT 7775/ AMD RYZEN/ 8GB/ 1TB/ 4GB/ WIN 10/ 27-INCH FHD","Brand Refurbished Laptops",1,75300
"DELL REFURBISHED VOSTRO 14 3445/ AMD E1-6010/ 4GB/ 500GB/ INT/ NO OS/ 14.0-Inch","Brand Refurbished Laptops",1,18200
"DELL REFURBISHED VOSTRO 14 3446/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ 2GB/ NO OS/ 14.0-Inch","Brand Refurbished Laptops",2,22100
"DELL REFURBISHED VOSTRO 14 3458/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ INT/ NO OS/ 14.0-Inch","Brand Refurbished Laptops",7,21500
"DELL REFURBISHED VOSTRO 14 3458/ 5TH GEN CI3-5005U/ 4GB/ 1TB/ 2GB/ NO OS/ 14.0-INCH","Brand Refurbished Laptops",1,24500
"DELL REFURBISHED VOSTRO 14 3468/ 6th Gen Ci3-6006U/ 4GB/ 500GB/ INT/ WIN 10/ 14.0-Inch","Brand Refurbished Laptops",23,23900
"DELL REFURBISHED VOSTRO 15 3546/ 4th Gen Ci5-4210U/ 4GB/ 500GB/ 2GB/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",1,29000
"DELL REFURBISHED VOSTRO 15 3546/ 4th Gen Ci5-4210U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",1,27500
"DELL REFURBISHED VOSTRO 15 3558/ 5th Gen Ci5-5200U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",1,29000
"DELL REFURBISHED VOSTRO 15 3559/ 6th Gen Ci5-6200U/ 4GB/ 1TB/ INT/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",1,34600
