"PRODUCT NAME",CATEGORY,QTY,PRICE
" Dell Venue 8 (Black, 32 GB)","Brand New Tablets",2,8000
"Alcatel Onetouch Idol X+( Bluish Black 16GB)","Brand New Mobiles",2,4500
"Apple 10.5-INCH IPAD PRO WI-FI + CELLULAR 256GB - SILVER (MPHH2HN/A)","Brand New Tablets",15,69200
"Apple 10.5-INCH IPAD PRO WI-FI + CELLULAR 512GB - GOLD (MPMG2HN/A)","Brand New Tablets",2,83400
"Apple 10.5-INCH IPAD PRO WI-FI + CELLULAR 64GB - ROSE GOLD (MQF22HN/A)","Brand New Tablets",5,57350
"Apple 10.5-INCH IPAD PRO WI-FI 256GB - GOLD (MPF12HN/A)","Brand New Tablets",13,57000
"Apple 10.5-INCH IPAD PRO WI-FI 256GB - SILVER (MPF02HN/A)","Brand New Tablets",18,57000
"Apple 10.5-INCH IPAD PRO WI-FI 512GB - GOLD (MPGK2HN/A)","Brand New Tablets",2,75200
"Apple 10.5-INCH IPAD PRO WI-FI 512GB - SPACE GREY (MPGH2HN/A)","Brand New Tablets",3,75200
"Apple 10.5-INCH IPAD PRO WI-FI 64GB - GOLD (MQDX2HN/A)","Brand New Tablets",4,46500
"Apple 12.9-INCH IPAD PRO WI-FI + CELLULAR 64GB - GOLD (MQEF2HN/A)","Brand New Tablets",1,69700
"Apple 12.9-INCH IPAD PRO WI-FI 512GB - SILVER (MPL02HN/A)","Brand New Tablets",1,87050
"APPLE IPAD PRO 9.7 INCH WIFI 32GB GOLD (MLMQ2HN/A)","Brand New Tablets",1,46000
"APPLE IPAD PRO 9.7 INCH WIFI 32GB SILVER (MLMP2HN/A)","Brand New Tablets",1,46950
"APPLE IPAD PRO 9.7 INCH WIFI CELLULAR 32GB SILVER (MLPX2HN/A)","Brand New Tablets",1,58250
"APPLE IPAD PRO 9.7"" WIFI CELLULAR 32GB ROSEGOLD (MLYJ2HN/A)","Brand New Tablets",1,57074
"APPLE IPAD PRO 9.7"" WIFI CELLULAR 32GB SPACE GRAY (MLPW2HN/A)","Brand New Tablets",1,57074
"Apple iPhone 6 (Gold, 32 GB) ","Brand New Mobiles",36,25100
"Apple iPhone 6 (Space Grey, 32 GB) ","Brand New Mobiles",52,24750
"Apple iPhone 6s (Silver, 32 GB)","Brand New Mobiles",2,34800
"Apple iPhone 7 (Gold, 32 GB) ","Brand New Mobiles",3,41700
"Apple iPhone 7 (Jet Black, 32GB) ","Brand New Mobiles",2,41700
"Apple iPhone 7 Plus (Black, 128GB) ","Brand New Mobiles",3,64200
"Apple iPhone 7 Plus (Black, 32 GB)","Brand New Mobiles",5,55800
"Apple iPhone 7 Plus (Gold, 128 GB)","Brand New Mobiles",3,64200
"Apple iPhone 7 Plus (Gold, 32 GB)","Brand New Mobiles",5,55800
"Apple iPhone 7 Plus (Rose Gold, 128 GB)","Brand New Mobiles",3,64200
"Apple iPhone 7 Plus (Silver, 128GB)","Brand New Mobiles",2,64200
"Apple iPhone 8 (Gold, 64 GB) ","Brand New Mobiles",6,54000
"Apple iPhone 8 (Space Grey, 256GB) ","Brand New Mobiles",15,68200
"Apple iPhone SE (Space Grey, 32 GB)	","Brand New Mobiles",11,18800
"Apple iPhone X (Space Gray, 64 GB)","Brand New Mobiles",4,82000
"Apple MacBook Air MJVE2HN/A Laptop (Core i5/4GB/128GB/Integrated Graphics/OS X Yosemite/13.3"")","Brand New Laptops",1,55000
"Apple MacBook Pro MF839HN/A Laptop (Core i5/8GB/128GB/Integrated Graphics/OS X Yosemite/13.3"")","Brand New Laptops",1,89000
"Asus A555LF-XX191T (A555L) 15.6-inch Laptop (Core i3 4005U/8GB/1TB/Windows 10/Nvidia GeForce 930M Graphics)Dark Brown","Brand New Laptops",1,29500
"Asus Zenfone 2 ZE551ML (Red, 32GB) ","Brand New Mobiles",5,8500
"Asus Zenfone 2 ZE551ML (Silver, 32GB) ","Brand New Mobiles",8,8500
"Asus Zenfone 4  (A400CG ) (Black, 8 GB)","Brand New Mobiles",18,2800
"Asus Zenfone 5 (A502CG ) Deep Black","Brand New Mobiles",1,3900
"Asus Zenfone 6 A601CG (16 GB  White)","Brand New Mobiles",1,4500
"Asus Zenfone Selfie (Silver, 3GB RAM, 16GB) ","Brand New Mobiles",1,8250
"Dell Inspiron 14 3452 (Celeron N3050/2GB/32GB/Integrated Graphics/Win 10/14.0-Inch/Non-Touch) Y565521HIN9-1","Brand New Laptops",1,12264
"Dell Inspiron 14 5455 (AMD A8-7410/4GB/1TB/2GB Graphics/Win 8.1/14.0-Inch/Non-Touch) X565904IN9-1","Brand New Laptops",1,25000
"Dell Inspiron 15 3542 (4th Gen Ci5/4GB/1TB/2GB Graphics/Win 8/15.6-Inch/Non-Touch) X560181IN9-1","Brand New Laptops",1,29195
"Dell Inspiron 15 3542 (4th Gen Ci5/4GB/1TB/2GB Graphics/Win 8/15.6-Inch/Non-Touch) X560365IN9-1","Brand New Laptops",1,29195
"Dell Inspiron 15 3543 (PDC 3805U/4GB/500GB/2GB Graphics/Win 8.1/15.6-Inch/Non-Touch) X560324IN9-1","Brand New Laptops",1,17427
"Dell Inspiron 15 3558 (5th Gen Ci3/4GB/1TB/Integrated Graphics/Win 10/15.6-Inch/Non-Touch) Z565106HIN9-1","Brand New Laptops",1,28163
"Dell Inspiron 15 5559 (6th Gen Ci5/8GB/1TB/2GB Graphics/Win 10/15.6-Inch/Non-Touch) Z566306HIN4-1","Brand New Laptops",1,43163
"Dell Vostro 15 3546 (4th Gen Ci5/4GB/1TB/2GB Graphics/Ubuntu/15.6-Inch/Non-Touch) X510332IN9-1","Brand New Laptops",1,29195
"Gionee A1 (Grey, 64 GB)","Brand New Mobiles",7,13750
"Honor 4C (WHITE, 8 GB) ","Brand New Mobiles",4,4000
"Honor 6 Plus (Black)","Brand New Mobiles",1,13000
"Honor Holly Hol-U19 (Black/White 16GB)","Brand New Mobiles",5,3500
"HP Envy X360 15-W102TX Laptop (6th Gen Core i5-6200U/4GB/1TB/2GB Graphics/Win 10/15.6"")","Brand New Laptops",1,46500
"HP Pavilion X2 10-N125TU Laptop (Atom Z8300/2GB/500GB/Intel HD Graphics/Win 10/10.1"")","Brand New Laptops",1,15000
"HP Slimline 260-A043IL Desktop (PQC-J3710/4GB/1TB/Integrated Graphics/Dos/Display not Included)","Brand New Laptops",1,14500
