store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,is_superdeal,product_category_type,name,image,small_image,thumbnail,gallery,url_key,warrenty,model_no,laptop_remark,weight,description,short_description,imp_desc,price,qty,is_in_stock,product_name,laptop_warranty_summary,laptop_battery,mapped_status
admin,base,Laptops,simple,"3,11",QCNBB001505,2,"Catalog, Search",GST0.36,Toshiba,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Toshiba-Satellite C660(Core I3 M380 2.53GHz/2GB/250GB 15.6"") ZA171228K",,,,,toshiba-satellite-c660-core-i3-m380-2.53ghz-2gb-250gb-15.6-za171228k-qcpnbk00264,15 Days Testing Warranty.,Satellite C660,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Toshiba-Satellite C660(Core I3 M380 2.53GHz/2GB/250GB 15.6"") ZA171228K",15 Days Testing Warranty.,10.8V48Wh,No
admin,base,Laptops,simple,"3,11",QCNBB001504,2,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Sony-PCG71211W(Core I3 N370 2.40GHz/4GB/320GB 15.6"") C608QXVG",,,,,sony-pcg71211w-core-i3-n370-2.40ghz-4gb-320gb-15.6-c608qxvg-qcpnbk00265,15 Days Testing Warranty.,PCG71211W,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Sony-PCG71211W(Core I3 N370 2.40GHz/4GB/320GB 15.6"") C608QXVG",15 Days Testing Warranty.,11.1V3500MAH,No
admin,base,Laptops,simple,"3,11",QCNBB001499,2,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,,No,QCNBK-B,"HP-G41303AU(AMD A4 3330M 2.20GHz/2GB/500GB 14"") 5CD3182DDS",,,,,hp-g41303au-amd-a4-3330m-2.20ghz-2gb-500gb-14-5cd3182dds-qcpnbk00266,15 Days Testing Warranty.,G41303AU,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"HP-G41303AU(AMD A4 3330M 2.20GHz/2GB/500GB 14"") 5CD3182DDS",15 Days Testing Warranty.,10.8V4200MAH,No
admin,base,Laptops,simple,"3,11",QCNBB001493,2,"Catalog, Search",GST0.36,DELL,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Dell-Insp 15 3521(Core I3 3217U 1.80GHz/4GB/500GB 15.6"") G64G102",,,,,dell-insp-15-3521-core-i3-3217u-1.80ghz-4gb-500gb-15.6-g64g102-qcpnbk00267,15 Days Testing Warranty.,Insp 15 3521,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Dell-Insp 15 3521(Core I3 3217U 1.80GHz/4GB/500GB 15.6"") G64G102",15 Days Testing Warranty.,11.1V48WH,No
admin,base,Laptops,simple,"3,11",QCNBB001494,2,"Catalog, Search",GST0.36,DELL,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Dell-Insp N5010(Core I3 M350 2.27GHz/3GB/500GB 15"") BRTG6BS",,,,,dell-insp-n5010-core-i3-m350-2.27ghz-3gb-500gb-15-brtg6bs-qcpnbk00268,15 Days Testing Warranty.,Insp N5010,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Dell-Insp N5010(Core I3 M350 2.27GHz/3GB/500GB 15"") BRTG6BS",15 Days Testing Warranty.,11.1V48wh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0197,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Lenovo-G560(Core I3 M370 2.40GHz/3GB/120GB 15.6"") CBQ3727831",,,,,lenovo-g560-core-i3-m370-2.40ghz-3gb-120gb-15.6-cbq3727831-sygnbqcp018,15 Days Testing Warranty.,G560,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo-G560(Core I3 M370 2.40GHz/3GB/120GB 15.6"") CBQ3727831",15 Days Testing Warranty.,10.8V4400MAH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0198,2,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,Core i5,No,QCNBK-B,"HP-G62202TX(Core I5 3210M 2.50GHz/2GB/500GB 15.6"") 5CD2416JJL",,,,,hp-g62202tx-core-i5-3210m-2.50ghz-2gb-500gb-15.6-5cd2416jjl-sygnbqcp019,15 Days Testing Warranty.,G62202TX,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"HP-G62202TX(Core I5 3210M 2.50GHz/2GB/500GB 15.6"") 5CD2416JJL",15 Days Testing Warranty.,10.8V4000MAH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0199,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Aspire 4755(Core I3 2310M 2.10GHz/2GB/500GB 14"") LXRPT0C0331270F7D12000",,,,,acer-aspire-4755-core-i3-2310m-2.10ghz-2gb-500gb-14-lxrpt0c0331270f7d12000-sygnbqcp020,15 Days Testing Warranty.,Aspire 4755,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Aspire 4755(Core I3 2310M 2.10GHz/2GB/500GB 14"") LXRPT0C0331270F7D12000",15 Days Testing Warranty.,10.8V4400MAH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0200,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR8XN50",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr8xn50-sygnbqcp021,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR8XN50",15 Days Testing Warranty.,14.4V--32WH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0201,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4TGB2",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr4tgb2-sygnbqcp022,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4TGB2",15 Days Testing Warranty.,14.4V--32WH,No
