store,websites,attribute_set,type,category_ids,sku,name,image,small_image,thumbnail,gallery,display_resolution,warrenty,price,weight,visibility,tax_class_id,brands,expandable_storage_capacity,sim_type,camera,mapped_status,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,product_name,product_type_id,model_no,weights,sim_size,secondary_camera,video_recording,hd_recording,touch_screen,touch_screen_type,display_color,internet_features,edge,gprs,usb_connectivity,tethering,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,standby_time,operating_freq,in_the_box,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,gr_ean,mobile_4g,status,processor,display_size,android,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,product_category_type,concated_description,other_features,model,voice_call,max_resolution,internet_browsing_time,video_playback,audio_formats_supported,tablet_bluetooth,dimensions,tablets_secondary_camera,tablets_primary_camera,tablets_color,tablets_processor,tablets_sim_type,tablets_ram,tablet_warranty_summary,tablet_threeg,tablets_display_type,tablet_connectivity,tablet_screen_range,tablet_internal_storage,tablet_operating_system
admin,base,Mobiles,simple,"4,94",OPMBAS00198,Ginger G5001 Superman 1GB  4GB Black,Ginger G5001 Superman 1Gb  4Gb Black,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Ginger G5001 Superman 1GB  4GB Black,simple,G5001 Superman,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00203,Motorola C Plus XT1721 16GB Fine Gold,Motorola C Plus Xt1721 16Gb Fine Gold,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Motorola C Plus XT1721 16GB Fine Gold,simple,C Plus XT1721,,,,,,,,,,,,,,,,,,,,,,,,,,Fine Gold,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00204,Motorola E3 Power 16GB Black,Motorola E3 Power 16Gb Black,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Motorola E3 Power 16GB Black,simple,E3 Power ,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00206,Motorola M XT1663 64GB Silver,Motorola M Xt1663 64Gb Silver,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Motorola M XT1663 64GB Silver,simple,M XT1663,,,,,,,,,,,,,,,,,,,,,,,,,,Silver,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00209,Motorola C Plus XT1721 16GB Starry Black,Motorola C Plus Xt1721 16Gb Starry Black,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Motorola C Plus XT1721 16GB Starry Black,simple,C Plus XT1721,,,,,,,,,,,,,,,,,,,,,,,,,,Starry Black,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00212,Motorola G5 Plus XT1686 16GB Lunar Grey,Motorola G5 Plus Xt1686 16Gb Lunar Grey,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Motorola G5 Plus XT1686 16GB Lunar Grey,simple,G5 Plus XT1686 ,,,,,,,,,,,,,,,,,,,,,,,,,,Lunar Grey,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00213,Motorola M XT1663 64GB Gold,Motorola M Xt1663 64Gb Gold,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Motorola M XT1663 64GB Gold,simple,M XT1663,,,,,,,,,,,,,,,,,,,,,,,,,,Gold,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00214,Motorola Nexus 6 XT1100 64GB Cloud White,Motorola Nexus 6 Xt1100 64Gb Cloud White,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Motorola Nexus 6 XT1100 64GB Cloud White,simple,Nexus 6 XT1100,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud White,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00216,Samsung Galaxy A7 (A7100) 64GB Black,Samsung Galaxy A7 (A7100) 64Gb Black,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Samsung,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Samsung Galaxy A7 (A7100) 64GB Black,simple,Galaxy A7 (A7100),,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00217,Samsung Galaxy A9 Pro (A910F) 32GB Black,Samsung Galaxy A9 Pro (A910F) 32Gb Black,,,,,6 Months Warranty.,0.00,,"Catalog, Search",GST12,Samsung,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Samsung Galaxy A9 Pro (A910F) 32GB Black,simple,Galaxy A9 Pro (A910F),,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
