sku,image,small_image,thumbnail,gallery,
OPMBNTFB0272,+/apple-iphone-6s-space-grey.jpg,+/apple-iphone-6s-space-grey.jpg,+/apple-iphone-6s-space-grey.jpg,/apple-iphone-6s-space-grey-right.jpg;/apple-iphone-6s-space-grey-left.jpg,
OPMBNTFB0117,+/apple-iphone-7-plus-jet-black.jpg,+/apple-iphone-7-plus-jet-black.jpg,+/apple-iphone-7-plus-jet-black.jpg,/apple-iphone-7-plus-jet-black-right.jpg;/apple-iphone-7-plus-jet-black-left.jpg,
OPMBNTFB0234,+/apple-iphone-6s-silver.jpg,+/apple-iphone-6s-silver.jpg,+/apple-iphone-6s-silver.jpg,/apple-iphone-6s-silver-right.jpg;/apple-iphone-6s-silver-left.jpg,
OPMBNTFB0012,+/apple-iphone-6s-rose-gold.jpg,+/apple-iphone-6s-rose-gold.jpg,+/apple-iphone-6s-rose-gold.jpg,/apple-iphone-6s-rose-gold-right.jpg;/apple-iphone-6s-rose-gold-left.jpg,
OPMBNTFB0203,+/apple-iphone-6-space-grey.jpg,+/apple-iphone-6-space-grey.jpg,+/apple-iphone-6-space-grey.jpg,/apple-iphone-6-space-grey-right.jpg;/apple-iphone-6-space-grey-left.jpg,
OPMBNTF0503,+/samsung-galaxy-j5-prime-black.jpg,+/samsung-galaxy-j5-prime-black.jpg,+/samsung-galaxy-j5-prime-black.jpg,/samsung-galaxy-j5-prime-black-right.jpg;/samsung-galaxy-j5-prime-black-right-left.jpg,
REFMOB0016,+/samsung-z4-gold.jpg,+/samsung-z4-gold.jpg,+/samsung-z4-gold.jpg,/samsung-z4-gold-right.jpg;/samsung-z4-gold-left.jpg,
REFMOB0017,+/samsung-z2-black.jpg,+/samsung-z2-black.jpg,+/samsung-z2-black.jpg,/samsung-z2-black-right.jpg;/samsung-z2-black-left.jpg,
REFMOB0019,+/samsung-z4-gold.jpg,+/samsung-z4-gold.jpg,+/samsung-z4-gold.jpg,/samsung-z4-gold-right.jpg;/samsung-z4-gold-left.jpg,
ASMBA000104,+/apple-iphone-4.jpg,+/apple-iphone-4.jpg,+/apple-iphone-4.jpg,/apple-iphone-4-right.jpg;/apple-iphone-4-left.jpg,
