store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_battery,price,mapped_status,color
admin,base,Laptops,simple,"3,11",QCNBB001890,2,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-6710s(Core 2 DuoT7100 1.80GHz/2.5GB/80GB 15.6"")CNU7250S20",15 Days Testing Warranty.,6710s,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-6710s(Core 2 DuoT7100 1.80GHz/2.5GB/80GB 15.6"")CNU7250S20",simple,15 Days Testing Warranty.,No,10.8V--47Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001891,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Presario V5000 5233ea(Centrino Duo T2050 1.60GHz/1GB/100GB 14"")CND6311N29",15 Days Testing Warranty.,Presario V5000 5233ea,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Presario V5000 5233ea(Centrino Duo T2050 1.60GHz/1GB/100GB 14"")CND6311N29",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Black 
admin,base,Laptops,simple,"3,11",QCNBB001892,2,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-6710B(Core 2 Duo T7300 2.0GHz/3GB/160GB 14"")CNU7392YS5",15 Days Testing Warranty.,6710B,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-6710B(Core 2 Duo T7300 2.0GHz/3GB/160GB 14"")CNU7392YS5",simple,15 Days Testing Warranty.,No,10.8V--5500mAh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001893,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion DM 1(AMD E 350 1.60GHz/4GB/320GB 11.0"")5CH1310LXX",15 Days Testing Warranty.,Pavilion DM 1,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion DM 1(AMD E 350 1.60GHz/4GB/320GB 11.0"")5CH1310LXX",simple,15 Days Testing Warranty.,No,10.8V--55Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001894,2,"Catalog, Search",GST0.36,Dell,Core i7,QCNBK-B,"Dell-Latitude E6510(Core i7 M640 2.80GHz/2GB/750GB 15.6"")F2RG3Q1",15 Days Testing Warranty.,Latitude E6510,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Latitude E6510(Core i7 M640 2.80GHz/2GB/750GB 15.6"")F2RG3Q1",simple,15 Days Testing Warranty.,No,11.1V--56Wh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001895,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-15-ac117tu(Celeron N3050 1.60GHz/4GB/500GB 15.6"")CND5335810",15 Days Testing Warranty.,15-ac117tu,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-15-ac117tu(Celeron N3050 1.60GHz/4GB/500GB 15.6"")CND5335810",simple,15 Days Testing Warranty.,No,14.8V--41Wh,0.00,No,Silver
admin,base,Laptops,simple,"3,11",QCNBB001896,2,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-NC6400(Core 2 Duo T5600 1.83GHz/1GB/80GB 14"")CND7141PWT",15 Days Testing Warranty.,NC6400,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-NC6400(Core 2 Duo T5600 1.83GHz/1GB/80GB 14"")CND7141PWT",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001897,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion DV4 1241TX(Core 2 DuoT6400 2.0GHz/3GB/500GB 14"")CND9153K7P",15 Days Testing Warranty.,Pavilion DV4 1241TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion DV4 1241TX(Core 2 DuoT6400 2.0GHz/3GB/500GB 14"")CND9153K7P",simple,15 Days Testing Warranty.,No,10.8V--4000mAh,0.00,No,Brown
admin,base,Laptops,simple,"3,11",QCNBB001898,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion G4-1303AU(AMD A4 3336MX 2.20GHz/2GB/500GB 14"")5CD33383Q9",15 Days Testing Warranty.,Pavilion G4-1303AU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion G4-1303AU(AMD A4 3336MX 2.20GHz/2GB/500GB 14"")5CD33383Q9",simple,15 Days Testing Warranty.,No,10.8V--47Wh,0.00,No,Silver
admin,base,Laptops,simple,"3,11",QCNBB001899,2,"Catalog, Search",GST0.36,Sony,,QCNBK-B,"Sony-PCG-3E7P(Pentium Dual T4300 2.16GHz/2GB/320GB 14.0"")28278486-7000896",15 Days Testing Warranty.,PCG-3E7P,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-3E7P(Pentium Dual T4300 2.16GHz/2GB/320GB 14.0"")28278486-7000896",simple,15 Days Testing Warranty.,No,10.8V--48Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001900,2,"Catalog, Search",GST0.36,Asus,,QCNBK-B,"Asus-X205TA(Atom Z3735F 1.33GHz/2GB/32GB 10.0"")F3NLCX075916128",15 Days Testing Warranty.,X205TA,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Asus-X205TA(Atom Z3735F 1.33GHz/2GB/32GB 10.0"")F3NLCX075916128",simple,15 Days Testing Warranty.,No,In Build,0.00,No,Blue
admin,base,Laptops,simple,"3,11",QCNBB001901,2,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-Presario C700(Celeron R CPU 560 2.13GHz/1GB/120GB 14.0"")CND3232N0",15 Days Testing Warranty.,Presario C700,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-Presario C700(Celeron R CPU 560 2.13GHz/1GB/120GB 14.0"")CND3232N0",simple,15 Days Testing Warranty.,No,10.8V--55Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001902,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion DV2700-2701TU(Pentium Dual Core T2330 1.60GHz/2GB/160GB 14"")2EC74930FJ",15 Days Testing Warranty.,Pavilion DV2700-2701TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion DV2700-2701TU(Pentium Dual Core T2330 1.60GHz/2GB/160GB 14"")2EC74930FJ",simple,15 Days Testing Warranty.,No,10.8V--47Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001903,2,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-6720s(Core 2 Duo T5470 1.60GHz/2GB/160GB 15.4"")CNU744373F",15 Days Testing Warranty.,6720s,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-6720s(Core 2 Duo T5470 1.60GHz/2GB/160GB 15.4"")CNU744373F",simple,15 Days Testing Warranty.,No,10.8V--47Wh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001904,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion Dv2000-2214tu(Pentium Dual Core T2250 1.73GHz/1GB/120GB 14"")2CE70917WL",15 Days Testing Warranty.,Pavilion Dv2000-2214tu,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion Dv2000-2214tu(Pentium Dual Core T2250 1.73GHz/1GB/120GB 14"")2CE70917WL",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001905,2,"Catalog, Search",GST0.36,Asus,,QCNBK-B,"Asus-X205TA(Atom Z3735F 1.33GHz/2GB/32GB 10.0"")F3NLCX060507122",15 Days Testing Warranty.,X205TA,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Asus-X205TA(Atom Z3735F 1.33GHz/2GB/32GB 10.0"")F3NLCX060507122",simple,15 Days Testing Warranty.,No,In Build,0.00,No,Navy Blue
admin,base,Laptops,simple,"3,11",QCNBB001906,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion Dv6-1337tx(Core 2 Duo T6600 2.2GHz/4GB/500GB15.6"")CNF9471YPH",15 Days Testing Warranty.,Pavilion Dv6-1337tx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion Dv6-1337tx(Core 2 Duo T6600 2.2GHz/4GB/500GB15.6"")CNF9471YPH",simple,15 Days Testing Warranty.,No,10.8V--4800mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001907,2,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-Presario C700 791tu(Celeron R 560 2.13GHz/1GB/120GB 14"")CND83232N0",15 Days Testing Warranty.,Presario C700 791tu,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-Presario C700 791tu(Celeron R 560 2.13GHz/1GB/120GB 14"")CND83232N0",simple,15 Days Testing Warranty.,No,10.8V--55Wh,0.00,No,Black
