store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,mapped_status
admin,base,Laptops,simple,"3,11",QCNBB001769,2,"Catalog, Search",GST0.36,HP,Core i5,QCNBK-B,"HP-Probook 4440S(Core I5 3230M 2.60GHz/4GB/500GB 14.1"")2CE3271L7L",15 Days Testing Warranty.,Probook 4440S,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Probook 4440S(Core I5 3230M 2.60GHz/4GB/500GB 14.1"")2CE3271L7L",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,No
admin,base,Laptops,simple,"3,11",QCNBB001770,2,"Catalog, Search",GST0.36,Lenovo,Core i3,QCNBK-B,"Lenovo-B570(Core I3 2330M 2.20GHz/4GB/320GB 15"")WB03457784",15 Days Testing Warranty.,B570,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-B570(Core I3 2330M 2.20GHz/4GB/320GB 15"")WB03457784",simple,15 Days Testing Warranty.,No,No,10.8V--4.1AH,No
admin,base,Laptops,simple,"3,11",QCNBB001803,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP 7348(Core I5 5200U 2.20GHz/8GB/500GB 13.0"")HL7GH52",15 Days Testing Warranty.,INSP 7348,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 7348(Core I5 5200U 2.20GHz/8GB/500GB 13.0"")HL7GH52",simple,15 Days Testing Warranty.,No,No,In Build,No
admin,base,Laptops,simple,"3,11",QCNBB001804,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP 5559(Core I5 6200U 2.30GHz/4GB/1TB 15.6"")2PB0J72",15 Days Testing Warranty.,INSP 5559,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 5559(Core I5 6200U 2.30GHz/4GB/1TB 15.6"")2PB0J72",simple,15 Days Testing Warranty.,No,No,14.8V--2700mAh,No
admin,base,Laptops,simple,"3,11",QCNBB001805,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP 15-5559(Core I5 6200U 2.30GHz/4GB/1TB 15.6"")J450J72",15 Days Testing Warranty.,INSP 15-5559,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 15-5559(Core I5 6200U 2.30GHz/4GB/1TB 15.6"")J450J72",simple,15 Days Testing Warranty.,No,No,14.8V--2750mAh,No
admin,base,Laptops,simple,"3,11",QCNBB001771,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,Dell-Vostro 15-3268(Pentium g4560 1.50GHz/4GB/1TB )96YSXJ2,15 Days Testing Warranty.,Vostro 15-3268,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-Vostro 15-3268(Pentium g4560 1.50GHz/4GB/1TB )96YSXJ2,simple,15 Days Testing Warranty.,No,No,Inbuild,No
admin,base,Laptops,simple,"3,11",QCNBB001772,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 5740G(Core I3 330M 2.13GHz/4GB/320GB 15.6"")LXPMF02108002140352000",15 Days Testing Warranty.,Aspire 5740G,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 5740G(Core I3 330M 2.13GHz/4GB/320GB 15.6"")LXPMF02108002140352000",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,No
admin,base,Laptops,simple,"3,11",QCNBB001773,2,"Catalog, Search",GST0.36,HP,Core i5,QCNBK-B,HP-15-R007TX(Core I5 4th Gen/2GB/1TB)CND4312WZC,15 Days Testing Warranty.,15-R007TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,HP-15-R007TX(Core I5 4th Gen/2GB/1TB)CND4312WZC,simple,15 Days Testing Warranty.,No,No,,No
admin,base,Laptops,simple,"3,11",QCNBB001774,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP 15-P51F(Core I5 6200U 2.30GHz/8GB/1TB 15.6"")4JNWFC2",15 Days Testing Warranty.,INSP 15-P51F,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 15-P51F(Core I5 6200U 2.30GHz/8GB/1TB 15.6"")4JNWFC2",simple,15 Days Testing Warranty.,No,No,14.8V--40Wh,No
admin,base,Laptops,simple,"3,11",QCNBB001806,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP 3543(Core I5 5200U 2.20GHz/8GB/1TB 15.6"")6Y0M582",15 Days Testing Warranty.,INSP 3543,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 3543(Core I5 5200U 2.20GHz/8GB/1TB 15.6"")6Y0M582",simple,15 Days Testing Warranty.,No,No,14.8V--40Wh,No
