store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,mapped_status
admin,base,Laptops,simple,"3,11",QCNBA000001,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-A,"Lenovo R61 (CPU-INTEL®CORE 2 D40 T17100@1.80GHZ/RAM-3GB/HDD-80GB/DISPLAY-14.1""NO ADPT) 1S8933A38L3A0637",15 Days Testing Warranty.,R61,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo R61 (CPU-INTEL®CORE 2 D40 T17100@1.80GHZ/RAM-3GB/HDD-80GB/DISPLAY-14.1""NO ADPT) 1S8933A38L3A0637",simple,15 Days Testing Warranty.,No,No
admin,base,Laptops,simple,"3,11",QCNBA000002,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-A,Lenovo R61 (CPU-INTEL (R) CORE DUO @1.8GHZ/RAM-3GB/HDD-120GB/DISPLAY-14.1''NO ADPT) 1S7733A46L3A7179,,R61,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Lenovo R61 (CPU-INTEL (R) CORE DUO @1.8GHZ/RAM-3GB/HDD-120GB/DISPLAY-14.1''NO ADPT) 1S7733A46L3A7179,simple,15 Days Testing Warranty.,No,No
