store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,mapped_status,price
admin,base,Laptops,simple,"3,11",QCNBA000011,2,No,"Catalog, Search",GST0.36,Toshiba,QCNBK-A,Toshiba Satellite C640-X4012 (CPU-INTEL CORE I5@2.4GHZ/RAM-4GB/HDD-500GB/DISPPLAY-14'') 98144650Q,15 Days Testing Warranty.,Satellite C640-X4012,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Toshiba Satellite C640-X4012 (CPU-INTEL CORE I5@2.4GHZ/RAM-4GB/HDD-500GB/DISPPLAY-14'') 98144650Q,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000012,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-A,Lenovo G580 (CPU-INTEL CORE-I5-3210M/RAM-4GB/HDD-500GB/DISPLAY-15.6'') WB07666037,15 Days Testing Warranty.,G580,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Lenovo G580 (CPU-INTEL CORE-I5-3210M/RAM-4GB/HDD-500GB/DISPLAY-15.6'') WB07666037,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000013,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-A,"Lenovo E420 (CPU-INTEL CORE I5-2430M@2.4GHZ/RAM-6GB/HDD-500GB/DIPLAY-14.0"") 1s1141CTOR9KM8P7",15 Days Testing Warranty.,E420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo E420 (CPU-INTEL CORE I5-2430M@2.4GHZ/RAM-6GB/HDD-500GB/DIPLAY-14.0"") 1s1141CTOR9KM8P7",simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000014,2,No,"Catalog, Search",GST0.36,Sony,QCNBK-A,Sony VGN-SR26GN (CPU-CORE 2 DUO -T6670@2.20GHZ/RAM-4GB/HDD-500GB/DISPLAY-13.3'') C60101V1,15 Days Testing Warranty.,VGN-SR26GN,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Sony VGN-SR26GN (CPU-CORE 2 DUO -T6670@2.20GHZ/RAM-4GB/HDD-500GB/DISPLAY-13.3'') C60101V1,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000015,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-A,Lenovo G580 (CPU-INTEL(R) CORE I5-3210M@2.5GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6'') 8201212003932,15 Days Testing Warranty.,G580,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Lenovo G580 (CPU-INTEL(R) CORE I5-3210M@2.5GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6'') 8201212003932,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000016,2,No,"Catalog, Search",GST0.36,Acer,QCNBK-A,Acer Aspire 4739Z (CPU-PENTIUM 2.13GHZ/RAM-2GB/HDD-500GB/DISPLAY-14''NO ADPT) NXM1TSI002219227667600,15 Days Testing Warranty.,Aspire 4739Z,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Acer Aspire 4739Z (CPU-PENTIUM 2.13GHZ/RAM-2GB/HDD-500GB/DISPLAY-14''NO ADPT) NXM1TSI002219227667600,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000017,2,No,"Catalog, Search",GST0.36,Acer,QCNBK-A,"Acer Aspire 4720Z (CPU-GENU IN INTEL/RAM-2GB/HDD-16GB/DISPLAY-14.1""NO ADPT) LXAL80C059833020CD2513",15 Days Testing Warranty.,Aspire 4720Z,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer Aspire 4720Z (CPU-GENU IN INTEL/RAM-2GB/HDD-16GB/DISPLAY-14.1""NO ADPT) LXAL80C059833020CD2513",simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000018,2,No,"Catalog, Search",GST0.36,Toshiba,QCNBK-A,Toshiba Satellite L755-M1G0 (CPU-INTEL CORE I5-2430M /RAM-4GB/HDD-500GB/DISPLAY-15.6'') B92402311BYD,15 Days Testing Warranty.,Satellite  L755-M1G0,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Toshiba Satellite L755-M1G0 (CPU-INTEL CORE I5-2430M /RAM-4GB/HDD-500GB/DISPLAY-15.6'') B92402311BYD,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000019,2,No,"Catalog, Search",GST0.36,HP,QCNBK-A,HP 15-p077tx (CPU-INTEL CORE I5 -4210U 1.7GHZ/RAM-8GB/HDD-1TB/DISPLAY 15.6) 5CD4235RTM,15 Days Testing Warranty.,15-p077tx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,HP 15-p077tx (CPU-INTEL CORE I5 -4210U 1.7GHZ/RAM-8GB/HDD-1TB/DISPLAY 15.6) 5CD4235RTM,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000020,2,No,"Catalog, Search",GST0.36,Sony,QCNBK-A,Sony VGN-CS35GN (CPU-INTEL® CORE ™ 2DUO -P8700@2.53GHZ/RAM-3GB/HDD-250GB/DISPLAY-14.1'') C1039BP7P,15 Days Testing Warranty.,VGN-CS35GN,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Sony VGN-CS35GN (CPU-INTEL® CORE ™ 2DUO -P8700@2.53GHZ/RAM-3GB/HDD-250GB/DISPLAY-14.1'') C1039BP7P,simple,15 Days Testing Warranty.,No,No,0.00
