sku,new_launch
NEWMOB00304,0
OPMBNTF0082,0
OPMBNTF0567,0
OPMBNTF0433,0
OPMBNTF0084,0
OPMBNTF0187,0
NEWMOB00208,0
NEWMOB00018,0
NEWMOB00017,0
QCMBB000091,0
QCMBB000142,0
QCMBB000093,0
OPMBNTF0025,0
QCMBB000074,0
ASMBA000032,0
QCMBB000105,0
QCMBB000112,0
QCMBB000138,0
QCMBB000004,0
QCMBB000177,0
QCMBB000007,0
QCMBB000006,0
QCMBB000140,0
QCMBB000144,0
QCMBB000076,0
QCMBB000149,0
QCMBB000005,0
ASMBA000004,0
QCMBB000100,0
QCMBB000188,0
QCMBB000101,0
QCMBB000117,0
QCMBB000011,0
QCMBB000146,0
QCMBB000184,0
QCMBB000050,0
QCMBA000036,0
QCMBB000106,0
QCMBB000127,0
QCMBB000147,0
QCMBB000191,0
NEWMOB00263,0
QCMBB000192,0
OPMBNTF0266,0
QCMBB000086,0
QCMBB000143,0
QCMBB000312,0
QCMBA000034,0
QCMBB000116,0
QCMBB000003,0
ASMBA000024,0
NEWMOB00309,0
QCMBB000170,0
QCMBB000070,0
QCMBB000224,0
QCMBB000245,0
QCMBB000008,0
QCMBB000039,0
QCMBB000261,0
QCMBB000279,0
QCMBB000045,0
QCMBB000210,0
QCMBB000054,0
QCMBB000237,0
QCMBB000072,0
QCMBB000078,0
QCMBB000095,0
QCMBB000002,0
QCMBB000128,0
QCMBB000152,0
QCMBB000153,0
QCMBB000083,0
QCMBB000194,0
QCMBB000199,0
QCMBB000202,0
QCMBB000196,0
QCMBA000046,0
QCMBB000009,0
QCMBB000030,0
QCMBB000252,0
QCMBB000037,0
QCMBB000038,0
QCMBB000051,0
QCMBB000263,0
QCMBB000124,0
QCMBB000114,0
QCMBB000148,0
QCMBB000179,0
QCMBB000048,0
QCMBB000052,0
QCMBB000053,0
QCMBB000081,0
QCMBB000119,0
QCMBB000176,0
QCMBB000190,0
QCMBB000028,0
QCMBB000040,0
QCMBB000056,0
QCMBB000248,0
QCMBB000266,0
QCMBB000150,0
QCMBB000154,0
QCMBB000197,0
QCMBB000258,0
QCMBB000055,0
QCMBA000024,0
QCMBB000122,0
NEWMOB00071,0
OPMBNTF0277,0
OPMBNTF0189,0
QCMBB000010,0
QCMBB000044,0
QCMBB000049,0
QCMBB000226,0
QCMBB000262,0
QCMBB000173,0
QCMBB000182,0
QCMBB000208,0
QCMBB000288,0
QCMBB000079,0
QCMBA000028,0
QCMBB000132,0
QCMBB000244,0
QCMBB000071,0
QCMBB000133,0
QCMBB000193,0
OPMBNTF0252,0
QCMBB000098,0
QCMBB000120,0
OPMBNTF0145,0
OPMBNTF0036,0
OPMBNTF0086,0
OPMBNTF0268,0
OPMBNTF0051,0
OPMBNTF0034,0
OPMBNTF0583,0
OPMBNTF0256,0
QCMBB000016,0
QCMBB000012,0
QCMBB000087,0
OPMBNTF0049,0
QCMBB000043,0
NEWMOB00039,0
QCMBB000085,0
QCMBB000141,0
OPMBNTF0174,0
opmbntf0073,0
OPMBNTF0155,0
NEWMOB00316,0
opmbntf0267,0
OPMBNTF0537,0
OPMBNTF0554,0
OPMBNTF0320,0
OPMBNTF0574,0
OPMBNTF0130,0
OPMBNTF0088,0
OPMBNTF0133,0
OPMBNTF0039,0
OPMBNTF0538,0
OPMBNTF0102,0
OPMBNTF0584,0
NEWMOB00315,0
OPMBNTF0106,0
QCMBB000121,0
NEWMOB00131,0
NEWMOB00132,0
NEWMOB00231,0
NEWMOB00230,0
NEWMOB00103,0
OPMBNTF0202,0
ICLMOB00013,0
OPMBNTF0272,0
OPMBNTF0122,0
NEWMOB00086,0
QCMBB000139,0
NEWMOB00228,0
QCMBB000059,0
QCMBB000171,0
OPMBNTF0048,0
OPMBNTF0308,0
OPMBNTF0168,0
QCMBB000242,0
QCMBB000088,0
OPMBNTF0115,0
OPMBNTF0110,0
ASMBA000021,0
QCMBB000155,0
QCMBB000161,0
QCMBB000102,0
QCMBB000061,0
QCMBB000111,0
NEWMOB00143,0
NEWMOB00141,0
NEWMOB00343,0
NEWMOB00142,0
NEWMOB00140,0
NEWMOB00342,0
NEWMOB00139,0
NEWMOB00344,0
SYG/LEN/K3NOTE,0
SYG/LEN/A6000P,0
SYG/LEN/A7700,0
SYG/LEN/ZUKZ1,0
SYG/LEN/K6NOTE,0
SYG/LEN/PH2PLS,0
SYG/LEN/Z2PLUS,0
SYG/LEN/K4NOTE,0
Laptop Core i7 4GB & Above,0
SYG/LEN/VIBEP1,0
Laptop Core i5 4GB & Above,0
SYG/LEN/A7000,0
Laptop Core i3 8GB,0
SYG/LEN/K5NOTE,0
Laptop Core i3 Graphics 2GB & Above,0
Laptop Core i3 2GB & Above,0
SYGLAPAPPLE,0
SYG/LEN/VIBEK5,0
SYG/LEN/LENP70,0
SYG/LEN/A5000,0
SYG/LEN/LNS580,0
SYG/LEN/LA850,0
SYG/LEN/A6000,0
SYG/LEN/VIBESH,0
SYG/LEN/LEP780,0
SYG/LEN/LEK900,0
SYG/CPD/DAZNX7,0
SYG/CPD/DAZEN1,0
SYG/CPD/MAXOO,0
SYG/CPD/MEGA03,0
SYG/CPD/NOTE3P,0
SYG/CPD/NOTE05,0
SYG/CPD/MEG25D,0
SYG/CPD/NOTE3S,0
SYG/CPD/MAXA-8,0
SYG/HTC/DES516,0
SYG/HTC/DES310,0
SYG/HTC/DES816,0
SYG/HTC/ONE M8,0
SYG/HTC/ONEM8E,0
SYG/HTC/ONE M9,0
SYG/MOT/GTUBED,0
SYG/MOT/G316GB,0
SYG/MOT/G4P16G,0
SYG/MOT/G4P32G,0
SYG/MOT/XS32GB,0
SYG/MOT/XF32GB,0
SYG/MOT/XF64GB,0
SYG/MOT/TU64GB,0
SYG/MOT/1GN8GB,0
SYG/MOT/2G16GB,0
SYG/MOT/4G16GB,0
SYG/MOT/4G32GB,0
SYG/MOT/XP32GB,0
SYG/MOT/ZP32GB,0
SYG/MOT/ZP64GB,0
SYG/MOT/M 32GB,0
SYG/MOT/M 64GB,0
SYG/ONP/OP264G,0
SYG/ONP/OP364G,0
SYG/ONP/OP132G,0
SYG/ONP/ONPLSX,0
SYG/SNY/XPE4DL,0
SYG/XMI/MINEO3,0
SYG/XMI/XIMI04,0
SYG/XMI/MI MAX,0
SYG/XMI/MIMXPR,0
SYG/XMI/XIMI05,0
SYG/XMI/XIMI41,0
SYG/XMI/RDNEPR,0
OPMBNTF0081,0
OPMBNTF0235,0
NEWMOB00152,0
OPMBNTF0388,0
OPMBNTF0211,0
OPMBNTF0118,0
OPMBNTF0405,0
OPMBNTF0411,0
OPMBNTF0212,0
OPMBNTF0164,0
OPMBNTF0188,0
OPMBNTF0422,0
OPMBNTF0563,0
OPMBNTF0290,0
OPMBNTF0213,0
OPMBNTF0103,0
OPMBNTF0427,0
OPMBNTF0692,0
OPMBNTF0428,0
LENOVO BPK 1,0
OPMBNTF0471,0
OPMBNTF0569,0
OPMBNTF0465,0
OPMBNTF0204,0
QCMBB000107,0
NEWMOB00329,0
QCMBA000038,0
QCMBA000023,0
QCMBA000030,0
QCMBA000042,0
QCMBA000060,0
QCMBB000178,0
QCMBA000012,0
QCMBA000037,0
QCMBA000020,0
QCMBA000025,0
QCMBA000057,0
QCMBA000063,0
NEWMOB00345,0
QCMBA000026,0
QCMBA000033,0
QCMBA000035,0
MI BAND,0
QCMBB000126,0
QCMBB000115,0
NEWMOB00296,0
ASMBA000052,0
ASMBA000038,0
ASMBA000027,0
ASMBA000040,0
ASMBA000031,0
ASMBA000049,0
ASMBA000025,0
ASMBA000050,0
ASMBA000034,0
ASMBA000002,0
ASMBA000003,0
ASMBA000028,0
OPMBNTF0550,0
OPMBNTF0179,0
OPMBNTF0180,0
OPMBNTF0091,0
OPMBNTF0135,0
OPMBNTF0072,0
OPMBNTF0136,0
OPMBNTF0181,0
OPMBNTF0117,0
OPMBNTF0271,0
OPMBNTF0336,0
OPMBNTF0161,0
OPMBNTF0160,0
OPMBNTF0201,0
OPMBNTF0116,0
OPMBNTF0232,0
OPMBNTF0334,0
OPMBNTF0339,0
OPMBNTF0230,0
OPMBNTF0270,0
OPMBNTF0333,0
OPMBNTF0095,0
OPMBNTF0234,0
OPMBNTF0068,0
OPMBNTF0090,0
ASMBA000033,0
NEWTAB00003,0
NEWTAB00010,0
OPMBNTF0275,0
OPMBNTF0630,0
OPMBNTF0638,0
OPMBNTF0637,0
QCMBA000054,0
OPMBNTF0131,0
OPMBNTF0540,0
OPMBNTF0541,0
OPMBNTF0141,0
OPMBNTF0641,0
OPMBNTF0175,0
OPMBNTF0107,0
NEWMOB00066,0
ASMBA000011,0
ASMBA000017,0
ASMBA000044,0
QCMBA000055,0
OPMBNTF0054,0
OPMBNTF0096,0
QCMBB000103,0
QCMBB000165,0
NEWMOB00183,0
NEWMOB00327,0
NEWTAB00024,0
NEWTAB00023,0
NEWMOB00111,0
NEWMOB00110,0
NEWMOB00112,0
NEWMOB00072,0
NEWMOB00366,0
NEWMOB00364,0
NEWMOB00365,0
NEWMOB00104,0
NEWMOB00108,0
NEWMOB00109,0
NEWMOB00113,0
NEWMOB00114,0
NEWMOB00115,0
NEWMOB00117,0
NEWMOB00118,0
NEWMOB00119,0
NEWMOB00205,0
NEWMOB00081,0
NEWMOB00079,0
NEWMOB00073,0
NEWMOB00180,0
NEWMOB00050,0
NEWMOB00051,0
QCMBA000011,0
QCMBB000001,0
QCMBB000097,0
QCMBB000113,0
QCMBB000108,0
ASMBA000036,0
ASMBA000022,0
ASMBA000030,0
NEWMOB00311,0
NEWMOB00037,0
NEWMOB00319,0
NEWMOB00038,0
NEWMOB00303,0
NEWMOB00043,0
NEWMOB00041,0
NEWMOB00298,0
NEWMOB00032,0
NEWMOB00033,0
NEWMOB00122,0
NEWMOB00022,0
