sku,image,small_image,thumbnail,media_gallery
REFDE00129,+/DELL-REFURBISHED-INSPIRON-15-7560-7th-Gen-Ci5.jpg,+/DELL-REFURBISHED-INSPIRON-15-7560-7th-Gen-Ci5.jpg,+/DELL-REFURBISHED-INSPIRON-15-7560-7th-Gen-Ci5.jpg,/DELL-REFURBISHED-INSPIRON-15-7560-7th-Gen-Ci5.jpg;/DELL-REFURBISHED-INSPIRON-15-7560-7th-Gen-Ci5-left.jpg;/DELL-REFURBISHED-INSPIRON-15-7560-7th-Gen-Ci5-right.jpg
REFDE00230,+/DELL-REFURBISHED-INSPIRON-DT-3043-Celeron-N2830-4GB-500GB-INT-WIN-10-19.5.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3043-Celeron-N2830-4GB-500GB-INT-WIN-10-19.5.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3043-Celeron-N2830-4GB-500GB-INT-WIN-10-19.5.jpg,/DELL-REFURBISHED-INSPIRON-DT-3043-Celeron-N2830-4GB-500GB-INT-WIN-10-19.5.jpg;/DELL-REFURBISHED-INSPIRON-DT-3043-Celeron-N2830-4GB-500GB-INT-WIN-10-19.5-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3043-Celeron-N2830-4GB-500GB-INT-WIN-10-19.5-right.jpg
REFDE00338,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg;/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5-right.jpg
REFDE00231,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg;/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5-right.jpg
REFDE00139,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg,/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5.jpg;/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3052-PQC-N3710-4GB-500GB-INT-NO-OS-19.5-right.jpg
REFDE00141,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg;/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3-right.jpg
REFDE00142,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg;/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3-right.jpg
REFDE00143,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg,/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3.jpg;/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3059-6th-Gen-Ci3-right.jpg
REFDE00312,+/DELL-REFURBISHED-INSPIRON-DT-3250/-6th-Gen-Ci3.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3250/-6th-Gen-Ci3.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3250/-6th-Gen-Ci3.jpg,/DELL-REFURBISHED-INSPIRON-DT-3250/-6th-Gen-Ci3.jpg;/DELL-REFURBISHED-INSPIRON-DT-3250/-6th-Gen-Ci3-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3250/-6th-Gen-Ci3-right.jpg
REFDE00262,+/DELL-REFURBISHED-INSPIRON-DT-3268.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3268.jpg,+/DELL-REFURBISHED-INSPIRON-DT-3268.jpg,/DELL-REFURBISHED-INSPIRON-DT-3268.jpg;/DELL-REFURBISHED-INSPIRON-DT-3268-left.jpg;/DELL-REFURBISHED-INSPIRON-DT-3268-right.jpg
