sku,name
QCNBA000053,"Dell inspiron N5110 (CPU-INTEL®CORE™I5-2410M@2.30GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6"") 3L6TVQ1"
QCNBA000054,"Sony PCG-61A11w (CPU-INTEL CORE I5-2430M@2.40GHZ/RAM-4GB/HDD-320GB/DISPLAY-14.0"") C9027MET9"
QCNBA000055,"Acer Aspire 4736Z (CPU-PENTIUM®DUAL CORE-T4400@2.20GHZ/RAM-3GB/HDD-320GB/DISPLAY-14.0"") LXP540C0279492EE7B1601"
QCNBA000056,"HP Pavilion G6 (CPU-INTEL®CORE™ I5-3270M@2.50GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6"") 5CD2153P7F"
QCNBA000057,"HP Pavilion G6 (CPU-INTEL®CORE™ I5-3270M@2.50GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6"") 5CD2120TW7"
QCNBA000058,"Dell inspiron N5110 (CPU-INTEL®CORE™I5-2410M@2.30GHZ/RAM-3GB/HDD-1TB/DISPLAY-15.6"") BDC1VQ1"
QCNBA000059,"Dell P20G (CPU-INTEL CORE™I5-2450M@2.50GHZ/RAM-3GB/HDD-500GB/DISPLAY-14.0"") J9WTWQ1"
QCNBA000060,Dell inspiron N5010 (CPU-INTEL CORE I5-M480@2.67GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6'') 2F5C6Q1
QCNBA000061,"Sony VPCEB3AGG (CPU-INTEL CORE I5-2410M@2.40GHZ/RAM-4GB/HDD-320GB/DISPLAY-15.5"") C606A9BLW"
QCNBA000062,"Dell XPS M1330 (INTEL®CORE™2DUO-T8100@2.10GHZ/RAM-4GB/HDD-500GB/DISPLAY-14.0"") 9M5T1BS"
QCNBA000063,"HP G4-1008TU (CPU-INTEL®CORE™I5-M480@2.67GHZ/RAM-3GB/HDD-500/DISPLAY-14.0"") CNF1123G42"
