sku,image,small_image,thumbnail,media_gallery
NEWMOB00052,+/Lenovo-Vibe-X2-Gold.jpg,+/Lenovo-Vibe-X2-Gold.jpg,+/Lenovo-Vibe-X2-Gold.jpg,/Lenovo-Vibe-X2-Gold.jpg;/Lenovo-Vibe-X2-Gold-left.jpg;/Lenovo-Vibe-X2-Gold-right.jpg
OPMBNTF0467,+/Moto-Turbo-Black.jpg,+/Moto-Turbo-Black.jpg,+/Moto-Turbo-Black.jpg,/Moto-Turbo-Black.jpg;/Moto-Turbo-Black-left.jpg;/Moto-Turbo-Black-right.jpg
