sku,image,small_image,thumbnail,media_gallery
NEWMOB00203,+/Micromax-Canvas-HD-Plus-A190-White.jpg,+/Micromax-Canvas-HD-Plus-A190-White.jpg,+/Micromax-Canvas-HD-Plus-A190-White.jpg,/Micromax-Canvas-HD-Plus-A190-White;/Micromax-Canvas-HD-Plus-A190-White-left.jpg;/Micromax-Canvas-HD-Plus-A190-White-right.jpg
NEWNBK00016,+/Micromax-Canvas-Lapbook-L1160.jpg,+/Micromax-Canvas-Lapbook-L1160.jpg,+/Micromax-Canvas-Lapbook-L1160.jpg,/Micromax-Canvas-Lapbook-L1160;/Micromax-Canvas-Lapbook-L1160-left.jpg;/Micromax-Canvas-Lapbook-L1160-right.jpg
OPMBNTF0086,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,/Micromax-Canvas-Mega-4G-Blue-16GB;/Micromax-Canvas-Mega-4G-Blue-16GB-left.jpg;/Micromax-Canvas-Mega-4G-Blue-16GB-right.jpg
NEWMOB00205,+/Micromax-Canvas-Nitro-A311-White.jpg,+/Micromax-Canvas-Nitro-A311-White.jpg,+/Micromax-Canvas-Nitro-A311-White.jpg,/Micromax-Canvas-Nitro-A311-White;/Micromax-Canvas-Nitro-A311-White-left.jpg;/Micromax-Canvas-Nitro-A311-White-right.jpg
NEWMOB00386,+/Oppo-F5-Gold.jpg,+/Oppo-F5-Gold.jpg,+/Oppo-F5-Gold.jpg,/Oppo-F5-Gold;/Oppo-F5-Gold-left.jpg;/Oppo-F5-Gold-right.jpg
